"Analysis","Analysis_levels","TimeofManipulation","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","z","p","Q","tau2.studylevel","tau2.outcomelevel","I2","Q.pval"
"FocalAnalysis_Step2_Individual_technique","Hydrocortisone","Delayed post","All","Intrusion frequency","Intrusion diary","no","65","1","1","1","-0.27268"," [-0.76, 0.22]","-1.09400858","0.273951215",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Imagery re-experience","Delayed post","All","Intrusion frequency","Intrusion diary","no","88","1","1","1","0.28612"," [-0.23, 0.80]","1.093122357","0.274340081",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Imagery rescripting","Delayed post","All","Intrusion frequency","Intrusion diary","no","88","1","1","1","0.02688"," [-0.48, 0.54]","0.103207916","0.917797957",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Tetris","Delayed post","All","Intrusion frequency","Intrusion diary","no","72","1","1","1","0.59455"," [-0.07, 1.26]","1.745494692","0.080898796",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Tetris + trauma reminder","Delayed post","All","Intrusion frequency","Intrusion diary","no","149","1","1","1","0.03983"," [-0.41, 0.49]","0.173554959","0.862215232",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Trauma reminder","Delayed post","All","Intrusion frequency","Intrusion diary","no","72","1","1","1","0.10711"," [-0.55, 0.76]","0.321094669","0.74813865",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Trauma reminder + break + tetris","Delayed post","All","Intrusion frequency","Intrusion diary","no","149","1","1","1","-0.09283"," [-0.54, 0.35]","-0.406755506","0.684187569",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Trauma reminder + tetris","Delayed post","All","Intrusion frequency","Intrusion diary","no","273","2","3","3","0.816600574722694"," [-0.02, 1.66]","1.90283333933237","0.0570622954239947","13.5753226395049","0.229850504985874","0.229850500397984","83.7677008519892","0.00112760279529214"
"FocalAnalysis_Step2_Individual_technique","Trauma reminder + tetris vs. Trauma reminder","Delayed post","All","Intrusion frequency","Intrusion diary","no","140","2","2","2","0.424936805461161"," [-0.49, 1.34]","0.914527590853654","0.3604396869117","4.63222173012048","0.169579351521916","0.169579351521916","78.4120868864322","0.0313769075455728"
"FocalAnalysis_Step2_Individual_technique","Trauma reminder + word game vs. Trauma reminder","Delayed post","All","Intrusion frequency","Intrusion diary","no","140","2","2","2","0.613223870004192"," [0.20, 1.03]","2.90297479619054","0.00369636383439202","0.169199808737347","0.00000000000270065857576511","0.0000000000027006585757651","0.00000000575526601088902","0.680823944197955"
"FocalAnalysis_Step2_Individual_technique","Hydrocortisone","Delayed post","All","Intrusion frequency","Intrusion diary","yes","65","1","1","1","-0.27268"," [-0.76, 0.22]","-1.09400858","0.273951215",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Imagery re-experience","Delayed post","All","Intrusion frequency","Intrusion diary","yes","88","1","1","1","0.28612"," [-0.23, 0.80]","1.093122357","0.274340081",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Imagery rescripting","Delayed post","All","Intrusion frequency","Intrusion diary","yes","88","1","1","1","0.02688"," [-0.48, 0.54]","0.103207916","0.917797957",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Tetris","Delayed post","All","Intrusion frequency","Intrusion diary","yes","72","1","1","1","0.59455"," [-0.07, 1.26]","1.745494692","0.080898796",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Tetris + trauma reminder","Delayed post","All","Intrusion frequency","Intrusion diary","yes","149","1","1","1","0.03983"," [-0.41, 0.49]","0.173554959","0.862215232",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Trauma reminder","Delayed post","All","Intrusion frequency","Intrusion diary","yes","72","1","1","1","0.10711"," [-0.55, 0.76]","0.321094669","0.74813865",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Trauma reminder + break + tetris","Delayed post","All","Intrusion frequency","Intrusion diary","yes","149","1","1","1","-0.09283"," [-0.54, 0.35]","-0.406755506","0.684187569",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Trauma reminder + tetris","Delayed post","All","Intrusion frequency","Intrusion diary","yes","149","1","1","1","0.01866"," [-0.45, 0.49]","0.077926404","0.937886596",NA,NA,NA,NA,NA
"FocalAnalysis_Step2_Individual_technique","Trauma reminder + tetris vs. Trauma reminder","Delayed post","All","Intrusion frequency","Intrusion diary","yes","140","2","2","2","0.424936805461161"," [-0.49, 1.34]","0.914527590853654","0.3604396869117","4.63222173012048","0.169579351521916","0.169579351521916","78.4120868864322","0.0313769075455728"
"FocalAnalysis_Step2_Individual_technique","Trauma reminder + word game vs. Trauma reminder","Delayed post","All","Intrusion frequency","Intrusion diary","yes","140","2","2","2","0.613223870004192"," [0.20, 1.03]","2.90297479619054","0.00369636383439202","0.169199808737347","0.00000000000270065857576511","0.0000000000027006585757651","0.00000000575526601088902","0.680823944197955"
"FocalAnalysis_Step2_Individual_technique","Deceptive placebo","Immediate + delayed post","All","Intrusion frequency","Intrusion diary","no","112","1","1","1","0.27759"," [-0.17, 0.73]","1.204189737","0.228516252",NA,NA,NA,NA,NA
