"Analysis","Prediction","Step3a","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Moderation Analysis: TimeOfManipulation","All","Emotion","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"2.592",NA,"0.628"
"Immediate post","All","Emotion","Intrusion frequency","Intrusion diary","no","702","7","7","11","-0.07"," [-0.41, 0.28]",NA,"-0.378947","0.704727"
"Peri","All","Emotion","Intrusion frequency","Intrusion diary","no","227","3","3","5","0.20"," [-0.33, 0.73]",NA,"0.728168","0.466511"
"Peri + immediate post","All","Emotion","Intrusion frequency","Intrusion diary","no","67","1","1","1","-0.51"," [-1.47, 0.44]",NA,"-1.050554","0.293463"
"Pre","All","Emotion","Intrusion frequency","Intrusion diary","no","210","4","4","5","0.18"," [-0.30, 0.66]",NA,"0.733378","0.463328"
"Pre + peri","All","Emotion","Intrusion frequency","Intrusion diary","no","108","1","1","2","-0.24"," [-1.12, 0.64]",NA,"-0.526922","0.598247"
"Moderation Analysis: TimeOfManipulation","All","Emotion","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"4.177",NA,"0.383"
"Immediate post","All","Emotion","Intrusion frequency","Intrusion diary","yes","663","6","6","10","0.09"," [-0.18, 0.36]",NA,"0.669658","0.503076"
"Peri","All","Emotion","Intrusion frequency","Intrusion diary","yes","227","3","3","5","0.20"," [-0.20, 0.60]",NA,"0.989647","0.322347"
"Peri + immediate post","All","Emotion","Intrusion frequency","Intrusion diary","yes","67","1","1","1","-0.51"," [-1.25, 0.22]",NA,"-1.367188","0.171566"
"Pre","All","Emotion","Intrusion frequency","Intrusion diary","yes","210","4","4","5","0.20"," [-0.18, 0.57]",NA,"1.031030","0.302527"
"Pre + peri","All","Emotion","Intrusion frequency","Intrusion diary","yes","108","1","1","2","-0.24"," [-0.87, 0.40]",NA,"-0.726829","0.467331"
"Moderation Analysis: TimeOfManipulation","All","Imagery","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"4.468",NA,"0.215"
"Delayed post","All","Imagery","Intrusion frequency","Intrusion diary","no","501","5","6","11","0.43"," [0.10, 0.75]",NA,"2.570754","0.010148"
"Immediate post","All","Imagery","Intrusion frequency","Intrusion diary","no","2549","28","33","73","0.26"," [0.12, 0.40]",NA,"3.640370","0.000272"
"Peri","All","Imagery","Intrusion frequency","Intrusion diary","no","677","9","10","15","0.57"," [0.30, 0.84]",NA,"4.118557","0.000038"
"Pre","All","Imagery","Intrusion frequency","Intrusion diary","no","120","2","2","2","0.44"," [-0.15, 1.03]",NA,"1.468535","0.141959"
"Moderation Analysis: TimeOfManipulation","All","Imagery","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"5.575",NA,"0.134"
"Delayed post","All","Imagery","Intrusion frequency","Intrusion diary","yes","449","5","5","9","0.24"," [-0.08, 0.56]",NA,"1.455608","0.145501"
"Immediate post","All","Imagery","Intrusion frequency","Intrusion diary","yes","2483","27","31","71","0.21"," [0.09, 0.34]",NA,"3.265825","0.001091"
"Peri","All","Imagery","Intrusion frequency","Intrusion diary","yes","677","9","10","14","0.54"," [0.29, 0.79]",NA,"4.226124","0.000024"
"Pre","All","Imagery","Intrusion frequency","Intrusion diary","yes","120","2","2","2","0.44"," [-0.10, 0.98]",NA,"1.597013","0.110263"
"Moderation Analysis: TimeOfManipulation","All","Other","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"1.478",NA,"0.478"
"Immediate post","All","Other","Intrusion frequency","Intrusion diary","no","1172","15","17","28","0.24"," [0.09, 0.39]",NA,"3.103676","0.001911"
"Peri","All","Other","Intrusion frequency","Intrusion diary","no","246","5","5","6","0.04"," [-0.27, 0.36]",NA,"0.276150","0.782433"
"Pre","All","Other","Intrusion frequency","Intrusion diary","no","229","3","3","5","0.10"," [-0.24, 0.44]",NA,"0.579623","0.562169"
"Moderation Analysis: TimeOfManipulation","All","Other","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"1.478",NA,"0.478"
"Immediate post","All","Other","Intrusion frequency","Intrusion diary","yes","1172","15","17","28","0.24"," [0.09, 0.39]",NA,"3.103676","0.001911"
