"StudyID","ArticleCounter","ExperimentCounter","No.","CoderID","ArticleID","StudyNo","StudyType","Experimental_Drug","EffectSizeID","Year","PublicationStatus","PublicationType","Journal","Title","Author","CorrespondenceEmail","DOI","ArticleSource","Country_RegionofOrigin","Continent","SampleNo","SampleSize","Female","FemaleRatio","MeanAge","StudyDesign","IBASampleInfo","IBASampleRandomization","IBAInclusion","IBAExclusion","IBAManipulationInfo","IBADVInfo","IBABaselineTraumaHistory","IBADiaryCodingReliability","IBAAnalysisPlan","IBAPeerReviewed","IBATraumaManipulationCheck","TotalIBAScore","StatExtracted","ExperimentalCondition","Step1_ExperimentalCondition","Intrusion_Predicted_Direction","ComparisonCondition","ComparisonType","Step1_ComparisonCondition","Step2_Individual_technique","Step3_Technique_procedure","Step4_Hypothesized_mechanism","Step4a_Direct_Indirect_involvement","Step4b_Task_Instruction","ExperimentalConditionSampleSize","ComparisonConditionSampleSize","StudySampleSize","TimeOfManipulation","TraumaInductionStimuli","EncodingTask","StimuliNo.","StimuliDuration","DependentVariables","DependentVariablesType","DVTask","ModeOfMeasurement","TimeOfMeasurement","MeasurementDuration","Intrusion_Retro_or_RealTime","Intrusion_Content","ManipulationBeneficial","ResultSummary","PhysioMeasures","ClinicalSymptomMeasures","VoluntaryMemoryMeasure","VoluntaryMemoryDirection","Experimental_Mean","Experimental_SE","Experimental_SD","Comparison_Mean","Comparison_SE","Comparison_SD","GroupDifference","T.test","Z.test","pvalue","EffectSize","EffectSizeType","Notes_fromMo","Notes_fromSZ","DirectionSignSZ","DirectionSignMo","TraumaStimuliType","Physio_binary","Citation_ExpLevel","Citation","Citation_ExpLevel_Detailed","Level2_detailed","ManipulationDiff","TimeDiff","MeasurementDiff","DelayedInterval","sign","F.test","U.test","t.test","CohenD","yi","vi","yi_pos","se","Lower.Limit","Upper.Limit","Z.value","p.value","StudentizedResiduals","outliers","cooks","cooks_inf","DFBETAS","DFBETAS_inf"
85,1,1,348,"MMV & SZ",74,1,"Behavioural",NA,348,2019,"Published","Journal Article","Scientific Reports","Wakeful rest compared to vigilance reduces intrusive but not deliberate memory for traumatic videos","Horlyck, Lone D.; Bisby, James A.; King, John A.; Burgess, Neil","lone.horlyck.11@ucl.ac.uk ","10.1038/s41598-019-49634-8","Web of Science","England","Europe",2,40,29,0.725,"22.8","Between-subject",1,1,1,1,1,1,0,0,1,1,0,8,"page 3","Wakeful rest","Wakeful rest","Unspecified","0-back vigilance task","Experimental task","Control (0-back vigilance task)","Wakeful rest","Behavioural","Other","Indirect","Task",21,19,40,"Immediate post","Trauma film","Trauma film","20","10 minutes","Intrusion Frequency","Intrusion frequency","Intrusion diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Not provided","Positive","Wakeful rest had lower intrusions than 0-back vigilance task",NA,NA,"Yes","Null",4.85,NA,3.45,8.34,NA,6.44,"-3.49","t(37)=2.04",NA,"0.049","0.65","Cohen's d",NA,NA,NA,NA,"Film","No","Horlyck et al., 2019, Exp. 1","Horlyck et al., 2019","Horlyck et al., 2019, Exp. 1","Wakeful rest",NA,NA,NA,NA,-1,NA,NA,-2.04,-0.65,-0.672,0.1059,0.672,0.325415719,0.034183014,1.309812631,2.065044139,0.038918824,1.61204945210334,0,0.0591415904392813,0,0.247364556359396,0
86,NA,1,349,"MMV & SZ",74,2,"Behavioural",NA,349,2019,"Published","Journal Article","Scientific Reports","Wakeful rest compared to vigilance reduces intrusive but not deliberate memory for traumatic videos","Horlyck, Lone D.; Bisby, James A.; King, John A.; Burgess, Neil","lone.horlyck.11@ucl.ac.uk ","10.1038/s41598-019-49634-8","Web of Science","England","Europe",1,45,36,0.8,"22.7","Within-subject",1,1,1,1,1,1,0,0,1,1,0,8,"page 4,5","Wakeful rest","Wakeful rest","Unspecified","0-back vigilance task","Experimental task","Control (0-back vigilance task)","Wakeful rest","Behavioural","Other","Indirect","Task",45,45,45,"Immediate post","Trauma film","Trauma + Neutral Film","10 negative + 10 neutral","10 minutes","Intrusion Frequency","Intrusion frequency","Intrusion diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Not provided","Positive","Wakeful rest had lower intrusions than 0-back vigilance task",NA,NA,"Yes","Null",1.97,NA,2.76,2.76,NA,3.96,"-0.79",NA,NA,"< .05","Not provided","Not provided","Experimental manipulation counterbalanced within subject with a minimum of 1 day difference, so whether manipulation immediate or delayed post? And when intrusion diary exactly started?",NA,NA,NA,"Film","No","Horlyck et al., 2019, Exp. 2","Horlyck et al., 2019","Horlyck et al., 2019, Exp. 2","Wakeful rest",NA,NA,NA,NA,-1,NA,NA,NA,NA,-0.22948,0.04474,0.22948,0.211511234,-0.185083557,0.64404048,1.084946919,0.277945166,0.512601587081663,0,0.0104092913403614,0,0.100616128124218,0
95,NA,NA,381,"SZ",81,1,"Behavioural",NA,381,2010,"Published","Journal Article","Journal Of Trauma And Dissociation","Motion effects on intrusion development","Krans, Julie; Naring, Gerard; Holmes, Emily A.; Becker, Eni S.","J.Krans@psych.ru.nl","10.1080/15299730903318483","Web of Science","Netherlands","Europe",3,54,34,0.62962963,"21.75","Between-subject",1,0,1,1,1,1,1,0,1,1,1,9,"page 79","Configurational movement task during encoding","Chewing gum","Unspecified","No-task","No-task","No-Task","Chewing gum","Behavioural","Other","Indirect","Task",19,19,38,"Peri","Trauma film","Trauma film","4","11min38s","Intrusion Frequency","Intrusion frequency","Intrusion Diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image/thought combined","Null","The difference between the configurational gum- chewing condition and the no-task control condition was not significant",NA,NA,"Yes","Null",2.63,NA,1.61,4.28,NA,4.79,"-1.65","t(21.99)=1.42",NA,"0.17","Not provided","Not provided","Contact Emily for sample size; author provided info for sample size and trauma film duration",NA,NA,NA,"Film","No","Krans et al., 2010b","Krans et al., 2010","Krans et al., 2010b","Chewing gum",NA,NA,NA,NA,-1,NA,NA,-1.42,NA,-0.45207,0.10795,0.45207,0.328560731,-0.19191298,1.096045087,1.375898002,0.168853214,0.985891717419315,0,0.0219116761792495,0,0.14806825596444,0
111,1,1,465,"MMV",95,1,"Behavioural",NA,465,2019,"Published","Journal Article","European Journal Of Psychotraumatology","Investigating the effect of proactive interference control training on intrusive memories","Woud, Marcella L.; Heeren, Alexandre; Shkreli, Lorika; Meyer, Thomas; Egeri, Leonie; Cwik, Jan C.; Zlomuzica, Armin; Kessler, Henrik; Margraf, Juergen","marcella.woud@rub.de","10.1080/20008198.2019.1611092","Web of Science","Germany","Europe",2,54,44,0.814814815,"21.24","Between-subject",1,1,1,1,1,1,1,0,1,1,1,10,"Page 7","Low proactive interference","Low resistance to proactive interference","Unspecified","High proactive interference","Experimental task","High resistance to Proactive Interference","Low vs. High resistance to proactive interference","Behavioural","Other","Indirect","Task",28,26,54,"Pre","Trauma film","Trauma film","16","15 minutes","Intrusion Frequency","Intrusion frequency","Intrusion diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image/thought combined","Null","Both conditions did not significantly in terms of intrusion frequency",NA,NA,"No",NA,7.86,NA,5.54,8.88,NA,8.09,"-1.02","t(52)=-.548",NA,"0.586","0.15","Cohen's d",NA,NA,NA,NA,"Film","No","Woud et al., 2019","Woud et al., 2019","Woud et al., 2019","Low vs. High resistance to proactive interference",NA,NA,NA,NA,-1,NA,NA,-0.548,-0.15,-0.146,0.07437,0.146,0.272714503,-0.388518364,0.680522488,0.535365962,0.592396822,0.173297133290939,0,0.000653859224159344,0,0.0252176183127294,0
140,NA,NA,600,"MMV & SZ",121,2,"Behavioural",NA,600,2011,"Published","Journal Article","International Journal Of Cognitive Therapy","Effects of dual task interference on memory intrusions for affective images","Pearson, David G.; Sawyer, Tina","d.g.pearson@abdn.ac.uk","10.1521/ijct.2011.4.2.122","Web of Science","England","Europe",2,36,24,0.666666667,"20.03","Within-subject",1,1,0,1,1,1,0,0,0,1,1,7,"Not Reported","Low executive load","Low executive load","Unspecified","Control condition","No-task","No-Task","Executive load","Behavioural","Other","Indirect","Task",36,36,36,"Peri","Negative + Positive pictures","Viewing pictures","21 positive + 21 negative","Not Reported","Intrusion Frequency","Intrusion frequency","Intrusion Diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Not reported","Null","Both conditions did not significantly in terms of diary intrusions.",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,"Not Reported","Not Reported","Need to contact author for the stats on negative IAPS intrusions as the figure shows the mean of both positive and negative images.",NA,NA,NA,"Picture","No","Pearson & Sawyer, 2011, Exp. 2","Pearson & Sawyer, 2011","Pearson & Sawyer, 2011, Exp. 2","Executive load",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,1,1,605,"SZ",123,1,"Behavioural",NA,605,2022,"Published","Journal Article","Journal Of Experimental Psychopathology","Social comparison modulates acute responses to traumatic footage and the development of intrusive memories","Meyer, Thomas;Morina, Nexhmedin","t.meyer@uni-muenster.de","10.1177/20438087221075889","PROQUEST","Germany","Europe",4,120,94,0.783333333,"23","Between-subject",1,1,0,1,1,1,1,0,1,1,1,9,"Table 1, page 8","Similar-vulnerable group","Similar background -vulnerable social comparison","Unspecified","No-comparison control","No-task","No-Task","Social comparison","Behavioural","Other","Direct","Task",30,30,60,"Immediate post","Trauma film","Trauma film","5","15min","Intrusion Frequency","Intrusion frequency","Intrusion diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image/thought combined","Positive","Fewer intrusions in the similar-vulnerable group than in the no-comparison control group",NA,NA,"No",NA,3.5,NA,2.8,5.9,NA,4.5,"-2.4",NA,NA,"p (Bonferroni) = .048.","Not provided","Not provided",NA,NA,NA,NA,"Film","No","Meyer & Morina, 2022","Meyer & Morina, 2022","Meyer & Morina, 2022","Social comparison (similar-vulnerable)","Similar-vulnerable",NA,NA,NA,-1,NA,NA,NA,NA,-0.63208,0.07,0.63208,0.264567567,0.113523275,1.150628137,2.389089914,0.016890168,1.72742117532564,0,0.00478560018575107,0,0.070646696843831,0
142,NA,NA,608,"SZ",123,1,"Behavioural",NA,608,2022,"Published","Journal Article","Journal Of Experimental Psychopathology","Social comparison modulates acute responses to traumatic footage and the development of intrusive memories","Meyer, Thomas;Morina, Nexhmedin","t.meyer@uni-muenster.de","10.1177/20438087221075889","PROQUEST","Germany","Europe",4,120,94,0.783333333,"23","Between-subject",1,1,0,1,1,1,1,0,1,1,1,9,"Table 1, page 8","Similar-resilient group","Similar background-resilient social comparison","Unspecified","No-comparison control","No-task","No-Task","Social comparison","Behavioural","Other","Direct","Task",30,30,60,"Immediate post","Trauma film","Trauma film","5","15min","Intrusion Frequency","Intrusion frequency","Intrusion diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image/thought combined","Null","No group differences were found",NA,NA,"No",NA,4,NA,3.1,5.9,NA,4.5,"-1.9",NA,NA,NA,"Not provided","Not provided",NA,NA,NA,NA,"Film","No","Meyer & Morina, 2022","Meyer & Morina, 2022","Meyer & Morina, 2022","Social comparison (similar-resilient)","Similar-resilient",NA,NA,NA,-1,NA,NA,NA,NA,-0.48534,0.06863,0.48534,0.261972501,-0.028130192,0.998802011,1.852621584,0.063936617,1.25791480936825,0,0.00157812930540474,0,0.0401975251534621,0
142,NA,NA,611,"SZ",123,1,"Behavioural",NA,611,2022,"Published","Journal Article","Journal Of Experimental Psychopathology","Social comparison modulates acute responses to traumatic footage and the development of intrusive memories","Meyer, Thomas;Morina, Nexhmedin","t.meyer@uni-muenster.de","10.1177/20438087221075889","PROQUEST","Germany","Europe",4,120,94,0.783333333,"23","Between-subject",1,1,0,1,1,1,1,0,1,1,1,9,"Table 1, page 8","Different-resilient group","Different background-resilient social comparison","Unspecified","No-comparison control","No-task","No-Task","Social comparison","Behavioural","Other","Direct","Task",30,30,60,"Immediate post","Trauma film","Trauma film","5","15min","Intrusion Frequency","Intrusion frequency","Intrusion diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image/thought combined","Null","No group differences were found",NA,NA,"No",NA,5.1,NA,3.6,5.9,NA,4.5,"-0.8",NA,NA,NA,"Not provided","Not provided",NA,NA,NA,NA,"Film","No","Meyer & Morina, 2022","Meyer & Morina, 2022","Meyer & Morina, 2022","Social comparison (different-resilient)","Different-resilient",NA,NA,NA,-1,NA,NA,NA,NA,-0.19377,0.06698,0.19377,0.258804097,-0.31348481,0.701027251,0.748717748,0.454027344,0.32277643599303,0,0.000401154349725041,0,-0.019886262718361,0
142,NA,NA,614,"SZ",123,1,"Behavioural",NA,614,2022,"Published","Journal Article","Journal Of Experimental Psychopathology","Social comparison modulates acute responses to traumatic footage and the development of intrusive memories","Meyer, Thomas;Morina, Nexhmedin","t.meyer@uni-muenster.de","10.1177/20438087221075889","PROQUEST","Germany","Europe",4,120,94,0.783333333,"23","Between-subject",1,1,0,1,1,1,1,0,1,1,1,9,"Table 1, page 8","Similar-vulnerable group","Similar background -vulnerable social comparison","Unspecified","No-comparison control","No-task","No-Task","Social comparison","Behavioural","Other","Direct","Task",30,30,60,"Immediate post","Trauma film","Trauma film","5","15min","Intrusion Frequency","Intrusion frequency","Intrusion diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image","Null","No group differences were found",NA,NA,"No",NA,3,NA,2.6,4.6,NA,3.8,"-1.6",NA,NA,NA,"Not provided","Not provided",NA,NA,NA,NA,"Film","No","Meyer & Morina, 2022","Meyer & Morina, 2022","Meyer & Morina, 2022","Social comparison (similar-vulnerable)","Similar-vulnerable",NA,NA,NA,-1,NA,NA,NA,NA,-0.48505,0.06863,0.48505,0.261968076,-0.028408244,0.998506612,1.851558375,0.064089265,1.25696856054797,0,0.00157332769400926,0,0.0401355651657139,0
142,NA,NA,615,"SZ",123,1,"Behavioural",NA,615,2022,"Published","Journal Article","Journal Of Experimental Psychopathology","Social comparison modulates acute responses to traumatic footage and the development of intrusive memories","Meyer, Thomas;Morina, Nexhmedin","t.meyer@uni-muenster.de","10.1177/20438087221075889","PROQUEST","Germany","Europe",4,120,94,0.783333333,"23","Between-subject",1,1,0,1,1,1,1,0,1,1,1,9,"Table 1, page 8","Similar-resilient group","Similar background-resilient social comparison","Unspecified","No-comparison control","No-task","No-Task","Social comparison","Behavioural","Other","Direct","Task",30,30,60,"Immediate post","Trauma film","Trauma film","5","15min","Intrusion Frequency","Intrusion frequency","Intrusion diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image","Null","No group differences were found",NA,NA,"No",NA,3.7,NA,2.8,4.6,NA,3.8,"-0.9",NA,NA,NA,"Not provided","Not provided",NA,NA,NA,NA,"Film","No","Meyer & Morina, 2022","Meyer & Morina, 2022","Meyer & Morina, 2022","Social comparison (similar-resilient)","Similar-resilient",NA,NA,NA,-1,NA,NA,NA,NA,-0.26615,0.06726,0.26615,0.259339438,-0.242160095,0.7744505,1.026242692,0.304777202,0.554209009888964,0,0.0000270154106759357,0,-0.00518514584523278,0
142,NA,NA,616,"SZ",123,1,"Behavioural",NA,616,2022,"Published","Journal Article","Journal Of Experimental Psychopathology","Social comparison modulates acute responses to traumatic footage and the development of intrusive memories","Meyer, Thomas;Morina, Nexhmedin","t.meyer@uni-muenster.de","10.1177/20438087221075889","PROQUEST","Germany","Europe",4,120,94,0.783333333,"23","Between-subject",1,1,0,1,1,1,1,0,1,1,1,9,"Table 1, page 8","Different-resilient group","Different background-resilient social comparison","Unspecified","No-comparison control","No-task","No-Task","Social comparison","Behavioural","Other","Direct","Task",30,30,60,"Immediate post","Trauma film","Trauma film","5","15min","Intrusion Frequency","Intrusion frequency","Intrusion diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Image","Null","No group differences were found",NA,NA,"No",NA,4.2,NA,3.4,4.6,NA,3.8,"-0.4",NA,NA,NA,"Not provided","Not provided",NA,NA,NA,NA,"Film","No","Meyer & Morina, 2022","Meyer & Morina, 2022","Meyer & Morina, 2022","Social comparison (different-resilient)","Different-resilient",NA,NA,NA,-1,NA,NA,NA,NA,-0.1095,0.06677,0.1095,0.258392303,-0.396950698,0.61594713,0.423767329,0.671735507,0.0546620513767709,0,0.00138083749012486,0,-0.0366927007225229,0
142,NA,NA,617,"SZ",123,1,"Behavioural",NA,617,2022,"Published","Journal Article","Journal Of Experimental Psychopathology","Social comparison modulates acute responses to traumatic footage and the development of intrusive memories","Meyer, Thomas;Morina, Nexhmedin","t.meyer@uni-muenster.de","10.1177/20438087221075889","PROQUEST","Germany","Europe",4,120,94,0.783333333,"23","Between-subject",1,1,0,1,1,1,1,0,1,1,1,9,"Table 1, page 8","Similar-vulnerable group","Similar background -vulnerable social comparison","Unspecified","No-comparison control","No-task","No-Task","Social comparison","Behavioural","Other","Direct","Task",30,30,60,"Immediate post","Trauma film","Trauma film","5","15min","Intrusion Frequency","Intrusion frequency","Intrusion diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Thought","Null","No group differences were found",NA,NA,"No",NA,1.6,NA,2.1,3,NA,3,"-1.4",NA,NA,NA,"Not provided","Not provided",NA,NA,NA,NA,"Film","No","Meyer & Morina, 2022","Meyer & Morina, 2022","Meyer & Morina, 2022","Social comparison (similar-vulnerable)","Similar-vulnerable",NA,NA,NA,-1,NA,NA,NA,NA,-0.53364,0.06904,0.53364,0.262754168,0.018640599,1.048636937,2.030943114,0.042260766,1.41282541535444,0,0.00245117372159255,0,0.0502512601642059,0
142,NA,NA,618,"SZ",123,1,"Behavioural",NA,618,2022,"Published","Journal Article","Journal Of Experimental Psychopathology","Social comparison modulates acute responses to traumatic footage and the development of intrusive memories","Meyer, Thomas;Morina, Nexhmedin","t.meyer@uni-muenster.de","10.1177/20438087221075889","PROQUEST","Germany","Europe",4,120,94,0.783333333,"23","Between-subject",1,1,0,1,1,1,1,0,1,1,1,9,"Table 1, page 8","Similar-resilient group","Similar background-resilient social comparison","Unspecified","No-comparison control","No-task","No-Task","Social comparison","Behavioural","Other","Direct","Task",30,30,60,"Immediate post","Trauma film","Trauma film","5","15min","Intrusion Frequency","Intrusion frequency","Intrusion diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Thought","Null","No group differences were found",NA,NA,"No",NA,2.3,NA,2.5,3,NA,3,"-0.7",NA,NA,NA,"Not provided","Not provided",NA,NA,NA,NA,"Film","No","Meyer & Morina, 2022","Meyer & Morina, 2022","Meyer & Morina, 2022","Social comparison (similar-resilient)","Similar-resilient",NA,NA,NA,-1,NA,NA,NA,NA,-0.25021,0.06719,0.25021,0.259207169,-0.257840556,0.758251547,0.965272281,0.334408452,0.503170988860692,0,0.0000717337408991076,0,-0.00844041735191316,0
142,NA,NA,619,"SZ",123,1,"Behavioural",NA,619,2022,"Published","Journal Article","Journal Of Experimental Psychopathology","Social comparison modulates acute responses to traumatic footage and the development of intrusive memories","Meyer, Thomas;Morina, Nexhmedin","t.meyer@uni-muenster.de","10.1177/20438087221075889","PROQUEST","Germany","Europe",4,120,94,0.783333333,"23","Between-subject",1,1,0,1,1,1,1,0,1,1,1,9,"Table 1, page 8","Different-resilient group","Different background-resilient social comparison","Unspecified","No-comparison control","No-task","No-Task","Social comparison","Behavioural","Other","Direct","Task",30,30,60,"Immediate post","Trauma film","Trauma film","5","15min","Intrusion Frequency","Intrusion frequency","Intrusion diary","Intrusion diary","Same day post trauma film","7 days","Real Time","Thought","Null","No group differences were found",NA,NA,"No",NA,2.6,NA,3,3,NA,3,"-0.4",NA,NA,NA,"Not provided","Not provided",NA,NA,NA,NA,"Film","No","Meyer & Morina, 2022","Meyer & Morina, 2022","Meyer & Morina, 2022","Social comparison (different-resilient)","Different-resilient",NA,NA,NA,-1,NA,NA,NA,NA,-0.1316,0.06681,0.1316,0.258478218,-0.375016829,0.638217784,0.509135658,0.610657139,0.124810549846744,0,0.00106850829731881,0,-0.0323237809701363,0
