Analysis,Individual Technique Name,Time of Administration,Prediction,Outcome,Suboutcome,OutlierRemove,N,j,n,k,Hedgesg,CI,z,p,Q,tau2.studylevel,tau2.outcomelevel,I2,Q.pval
Individual Technique,Hydrocortisone,Delayed post,All,Intrusion frequency,NA,no,65,1,1,2,-0.192571951," [-0.54, 0.15]",-1.094758844,0.273622301,0.205828166,0,5.30365E-12,8.57016E-09,0.650057083
Individual Technique,Imagery re-experience,Delayed post,All,Intrusion frequency,NA,no,88,1,1,1,0.28612," [-0.23, 0.80]",1.093122357,0.274340081,NA,NA,NA,NA,NA
Individual Technique,Imagery rescripting,Delayed post,All,Intrusion frequency,NA,no,88,1,1,1,0.02688," [-0.48, 0.54]",0.103207916,0.917797957,NA,NA,NA,NA,NA
Individual Technique,Pre-neutral vs. Pre-negative trauma reminder,Delayed post,All,Intrusion frequency,NA,no,173,1,1,1,0.21769," [-0.19, 0.63]",1.040782851,0.297976341,NA,NA,NA,NA,NA
Individual Technique,Pre-vs. Post-extinction using trauma reminder,Delayed post,All,Intrusion frequency,NA,no,336,2,2,4,-0.173570113," [-0.47, 0.12]",-1.166008405,0.243611047,2.408541999,0.020472862,4.02621E-12,32.85410522,0.492046513
Individual Technique,Sleep-directed hypnosis,Delayed post,All,Intrusion frequency,NA,no,181,1,1,2,0.094554074," [-0.11, 0.30]",0.898682904,0.368821586,0.01554963,0,5.8292E-12,2.63288E-08,0.900762519
Individual Technique,Tetris,Delayed post,All,Intrusion frequency,NA,no,72,1,1,2,0.349441712," [-0.12, 0.82]",1.455191376,0.145616288,1.015156997,0,0.001722672,1.493072526,0.313670544
Individual Technique,Tetris + trauma reminder,Delayed post,All,Intrusion frequency,NA,no,149,1,1,2,0.046204395," [-0.27, 0.36]",0.284678583,0.7758904,0.001542778,0,5.07708E-12,9.63666E-09,0.968668579
Individual Technique,Trauma reminder,Delayed post,All,Intrusion frequency,NA,no,72,1,1,2,-0.101265741," [-0.56, 0.36]",-0.428190053,0.668512758,0.784625398,0,2.57416E-11,2.30113E-08,0.375730251
Individual Technique,Trauma reminder + break + tetris,Delayed post,All,Intrusion frequency,NA,no,149,1,1,2,-0.077325534," [-0.39, 0.24]",-0.479253187,0.631758521,0.009228849,0,5.21676E-12,1.00197E-08,0.923467443
