"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Moderation Analysis: Step3_Technique_procedure","Increase","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"0.647",NA,"0.421"
"Behavioural","Increase","Intrusion frequency","Intrusion diary","no","3210","37","43","58","-0.15"," [-0.29, -0.01]",NA,"-2.057351","0.039653"
"Pharmacological","Increase","Intrusion frequency","Intrusion diary","no","401","4","4","5","-0.34"," [-0.79, 0.11]",NA,"-1.499532","0.133736"
"Moderation Analysis: Step3_Technique_procedure","Increase","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"0.971",NA,"0.325"
"Behavioural","Increase","Intrusion frequency","Intrusion diary","yes","2951","34","40","54","-0.15"," [-0.27, -0.03]",NA,"-2.502727","0.012324"
"Pharmacological","Increase","Intrusion frequency","Intrusion diary","yes","401","4","4","5","-0.34"," [-0.69, 0.01]",NA,"-1.884694","0.059471"
"Moderation Analysis: Step4_Hypothesized_mechanism","Increase","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"2.196",NA,"0.700"
"Emotion","Increase","Intrusion frequency","Intrusion diary","no","699","8","8","8","-0.06"," [-0.43, 0.31]",NA,"-0.314477","0.753159"
"Imagery","Increase","Intrusion frequency","Intrusion diary","no","464","5","5","9","-0.02"," [-0.45, 0.41]",NA,"-0.108878","0.913299"
"Imagery + verbal","Increase","Intrusion frequency","Intrusion diary","no","210","2","3","3","-0.38"," [-1.00, 0.24]",NA,"-1.199819","0.230210"
"Verbal","Increase","Intrusion frequency","Intrusion diary","no","1228","15","17","23","-0.29"," [-0.55, -0.04]",NA,"-2.247996","0.024576"
"Verbal + imagery","Increase","Intrusion frequency","Intrusion diary","no","200","2","2","2","0.03"," [-0.61, 0.67]",NA,"0.079810","0.936388"
"Moderation Analysis: Step4_Hypothesized_mechanism","Increase","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"2.039",NA,"0.729"
"Emotion","Increase","Intrusion frequency","Intrusion diary","yes","479","6","6","6","-0.01"," [-0.35, 0.33]",NA,"-0.057626","0.954047"
"Imagery","Increase","Intrusion frequency","Intrusion diary","yes","425","4","4","8","-0.17"," [-0.53, 0.19]",NA,"-0.903602","0.366207"
"Imagery + verbal","Increase","Intrusion frequency","Intrusion diary","yes","210","2","3","3","-0.38"," [-0.88, 0.12]",NA,"-1.472960","0.140762"
"Verbal","Increase","Intrusion frequency","Intrusion diary","yes","1228","15","17","22","-0.25"," [-0.46, -0.05]",NA,"-2.397343","0.016514"
"Verbal + imagery","Increase","Intrusion frequency","Intrusion diary","yes","200","2","2","2","-0.11"," [-0.68, 0.45]",NA,"-0.393569","0.693899"
"Moderation Analysis: Step4a_Direct_Indirect_involvement","Increase","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"1.439",NA,"0.696"
"Direct","Increase","Intrusion frequency","Intrusion diary","no","1780","19","20","22","-0.16"," [-0.37, 0.06]",NA,"-1.420848","0.155361"
"Direct + indirect","Increase","Intrusion frequency","Intrusion diary","no","324","3","4","6","-0.41"," [-0.89, 0.08]",NA,"-1.642702","0.100445"
"Indirect","Increase","Intrusion frequency","Intrusion diary","no","1153","17","20","26","-0.10"," [-0.32, 0.12]",NA,"-0.882514","0.377499"
"Indirect + direct","Increase","Intrusion frequency","Intrusion diary","no","200","2","2","4","-0.05"," [-0.56, 0.47]",NA,"-0.183997","0.854016"
"Moderation Analysis: Step4a_Direct_Indirect_involvement","Increase","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"2.775",NA,"0.428"
"Direct","Increase","Intrusion frequency","Intrusion diary","yes","1490","16","17","19","-0.08"," [-0.26, 0.10]",NA,"-0.851336","0.394583"
"Direct + indirect","Increase","Intrusion frequency","Intrusion diary","yes","324","3","4","6","-0.41"," [-0.78, -0.04]",NA,"-2.154488","0.031202"
"Indirect","Increase","Intrusion frequency","Intrusion diary","yes","1114","16","19","25","-0.18"," [-0.36, 0.00]",NA,"-1.913668","0.055663"
"Indirect + direct","Increase","Intrusion frequency","Intrusion diary","yes","200","2","2","4","-0.02"," [-0.46, 0.43]",NA,"-0.079933","0.936291"
"Moderation Analysis: Step4b_Task_Instruction","Increase","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"3.029",NA,"0.220"
"Instruction","Increase","Intrusion frequency","Intrusion diary","no","812","10","10","11","0.01"," [-0.30, 0.32]",NA,"0.060561","0.951709"
"Task","Increase","Intrusion frequency","Intrusion diary","no","2398","28","33","44","-0.21"," [-0.37, -0.04]",NA,"-2.455246","0.014079"
"Task+instruction","Increase","Intrusion frequency","Intrusion diary","no","120","1","1","3","0.31"," [-0.29, 0.92]",NA,"1.023578","0.306034"
"Moderation Analysis: Step4b_Task_Instruction","Increase","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"5.162",NA,"0.076"
"Instruction","Increase","Intrusion frequency","Intrusion diary","yes","812","10","10","11","0.01"," [-0.24, 0.25]",NA,"0.052348","0.958252"
"Task","Increase","Intrusion frequency","Intrusion diary","yes","2139","25","30","40","-0.22"," [-0.35, -0.08]",NA,"-3.151344","0.001625"
"Task+instruction","Increase","Intrusion frequency","Intrusion diary","yes","120","1","1","3","0.34"," [-0.18, 0.86]",NA,"1.295404","0.195181"
"Moderation Analysis: TraumaStimuliType","Increase","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"8.210",NA,"0.084"
"Audio","Increase","Intrusion frequency","Intrusion diary","no","253","3","3","5","-0.35"," [-0.83, 0.14]",NA,"-1.401341","0.161112"
"Computer crash","Increase","Intrusion frequency","Intrusion diary","no","39","1","1","1","-1.43"," [-2.44, -0.42]",NA,"-2.770550","0.005596"
"Film","Increase","Intrusion frequency","Intrusion diary","no","3022","34","40","54","-0.15"," [-0.29, -0.00]",NA,"-2.021587","0.043219"
"Picture","Increase","Intrusion frequency","Intrusion diary","no","216","2","2","2","0.21"," [-0.38, 0.81]",NA,"0.707822","0.479056"
"Picture + shock","Increase","Intrusion frequency","Intrusion diary","no","81","1","1","1","-0.23"," [-1.14, 0.67]",NA,"-0.507799","0.611594"
"Moderation Analysis: TraumaStimuliType","Increase","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"3.337",NA,"0.342"
"Audio","Increase","Intrusion frequency","Intrusion diary","yes","253","3","3","5","-0.35"," [-0.75, 0.05]",NA,"-1.725567","0.084425"
"Film","Increase","Intrusion frequency","Intrusion diary","yes","2802","32","38","51","-0.18"," [-0.30, -0.06]",NA,"-2.864864","0.004172"
"Picture","Increase","Intrusion frequency","Intrusion diary","yes","216","2","2","2","0.22"," [-0.26, 0.70]",NA,"0.893517","0.371580"
"Picture + shock","Increase","Intrusion frequency","Intrusion diary","yes","81","1","1","1","-0.23"," [-0.99, 0.53]",NA,"-0.602574","0.546792"
"Moderation Analysis: ComparisonType","Increase","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"0.110",NA,"0.741"
"Experimental task","Increase","Intrusion frequency","Intrusion diary","no","1631","18","21","27","-0.14"," [-0.34, 0.06]",NA,"-1.394696","0.163108"
"No-task","Increase","Intrusion frequency","Intrusion diary","no","1980","23","26","36","-0.19"," [-0.38, -0.00]",NA,"-1.977195","0.048020"
"Moderation Analysis: ComparisonType","Increase","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"0.231",NA,"0.631"
"Experimental task","Increase","Intrusion frequency","Intrusion diary","yes","1631","18","21","27","-0.14"," [-0.31, 0.02]",NA,"-1.751355","0.079885"
"No-task","Increase","Intrusion frequency","Intrusion diary","yes","1721","20","23","32","-0.20"," [-0.36, -0.04]",NA,"-2.404862","0.016179"
"Moderation Analysis: StudyDesign","Increase","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"2.379",NA,"0.123"
"Between-subject","Increase","Intrusion frequency","Intrusion diary","no","3594","40","46","62","-0.18"," [-0.32, -0.05]",NA,"-2.628608","0.008574"
"Within-subject","Increase","Intrusion frequency","Intrusion diary","no","17","1","1","1","0.63"," [-0.39, 1.65]",NA,"1.209003","0.226662"
"Moderation Analysis: StudyDesign","Increase","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"3.317",NA,"0.069"
"Between-subject","Increase","Intrusion frequency","Intrusion diary","yes","3335","37","43","58","-0.18"," [-0.30, -0.07]",NA,"-3.227354","0.001249"
"Within-subject","Increase","Intrusion frequency","Intrusion diary","yes","17","1","1","1","0.63"," [-0.24, 1.50]",NA,"1.421252","0.155244"
"Moderation Analysis: TimeOfManipulation","Increase","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"0.477",NA,"0.976"
"Immediate + delayed post","Increase","Intrusion frequency","Intrusion diary","no","139","2","2","3","-0.34"," [-1.00, 0.32]",NA,"-0.998252","0.318157"
"Immediate post","Increase","Intrusion frequency","Intrusion diary","no","1678","18","21","31","-0.18"," [-0.39, 0.03]",NA,"-1.709239","0.087407"
"Peri","Increase","Intrusion frequency","Intrusion diary","no","1047","14","16","20","-0.11"," [-0.37, 0.14]",NA,"-0.882182","0.377679"
"Pre","Increase","Intrusion frequency","Intrusion diary","no","639","7","7","8","-0.19"," [-0.55, 0.16]",NA,"-1.061977","0.288246"
"Pre + peri","Increase","Intrusion frequency","Intrusion diary","no","108","1","1","1","-0.13"," [-1.07, 0.81]",NA,"-0.270604","0.786695"
"Moderation Analysis: TimeOfManipulation","Increase","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"0.481",NA,"0.975"
"Immediate + delayed post","Increase","Intrusion frequency","Intrusion diary","yes","139","2","2","3","-0.33"," [-0.86, 0.19]",NA,"-1.245243","0.213042"
"Immediate post","Increase","Intrusion frequency","Intrusion diary","yes","1458","16","19","28","-0.15"," [-0.33, 0.03]",NA,"-1.623747","0.104430"
"Peri","Increase","Intrusion frequency","Intrusion diary","yes","1008","13","15","19","-0.17"," [-0.39, 0.04]",NA,"-1.587756","0.112342"
"Pre","Increase","Intrusion frequency","Intrusion diary","yes","639","7","7","8","-0.20"," [-0.48, 0.09]",NA,"-1.339574","0.180384"
"Pre + peri","Increase","Intrusion frequency","Intrusion diary","yes","108","1","1","1","-0.13"," [-0.88, 0.62]",NA,"-0.338320","0.735122"
"Moderation Analysis: Physio_binary","Increase","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"1.197",NA,"0.274"
"No","Increase","Intrusion frequency","Intrusion diary","no","2474","30","34","50","-0.21"," [-0.37, -0.06]",NA,"-2.638894","0.008318"
"Yes","Increase","Intrusion frequency","Intrusion diary","no","1137","12","13","13","-0.05"," [-0.30, 0.21]",NA,"-0.361254","0.717910"
"Moderation Analysis: Physio_binary","Increase","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"0.367",NA,"0.545"
"No","Increase","Intrusion frequency","Intrusion diary","yes","2396","28","32","47","-0.19"," [-0.33, -0.06]",NA,"-2.827637","0.004689"
"Yes","Increase","Intrusion frequency","Intrusion diary","yes","956","11","12","12","-0.11"," [-0.33, 0.10]",NA,"-1.023584","0.306032"
