"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Moderation Analysis: Step3_Technique_procedure","All","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"3.159",NA,"0.076"
"Behavioural","All","Intrusion symptoms",NA,"no","4530","46","53","96","0.06"," [-0.03, 0.14]",NA,"1.333620","0.182328"
"Pharmacological","All","Intrusion symptoms",NA,"no","200","2","2","4","0.44"," [0.03, 0.85]",NA,"2.097259","0.035971"
"Moderation Analysis: Step3_Technique_procedure","All","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"3.417",NA,"0.065"
"Behavioural","All","Intrusion symptoms",NA,"yes","4485","45","52","91","0.08"," [0.01, 0.16]",NA,"2.122501","0.033796"
"Pharmacological","All","Intrusion symptoms",NA,"yes","200","2","2","4","0.44"," [0.07, 0.80]",NA,"2.343126","0.019123"
"Moderation Analysis: Step4_Hypothesized_mechanism","All","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"5.429",NA,"0.143"
"Emotion","All","Intrusion symptoms",NA,"no","714","9","9","10","-0.07"," [-0.31, 0.17]",NA,"-0.592075","0.553800"
"Imagery","All","Intrusion symptoms",NA,"no","1676","18","20","33","0.03"," [-0.12, 0.18]",NA,"0.377151","0.706062"
"Imagery + verbal","All","Intrusion symptoms",NA,"no","250","1","3","3","0.53"," [0.08, 0.99]",NA,"2.298075","0.021558"
"Verbal","All","Intrusion symptoms",NA,"no","1691","15","16","24","0.05"," [-0.11, 0.22]",NA,"0.627635","0.530243"
"Moderation Analysis: Step4_Hypothesized_mechanism","All","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"6.178",NA,"0.103"
"Emotion","All","Intrusion symptoms",NA,"yes","651","8","8","9","-0.02"," [-0.22, 0.18]",NA,"-0.191742","0.847944"
"Imagery","All","Intrusion symptoms",NA,"yes","1676","18","20","31","0.09"," [-0.04, 0.22]",NA,"1.415184","0.157014"
"Imagery + verbal","All","Intrusion symptoms",NA,"yes","250","1","3","3","0.52"," [0.14, 0.90]",NA,"2.676469","0.007440"
"Verbal","All","Intrusion symptoms",NA,"yes","1646","14","15","22","0.06"," [-0.08, 0.20]",NA,"0.827546","0.407928"
"Moderation Analysis: Step4a_Direct_Indirect_involvement","All","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"8.120",NA,"0.087"
"Direct","All","Intrusion symptoms",NA,"no","1978","18","19","33","0.02"," [-0.12, 0.17]",NA,"0.329077","0.742097"
"Direct + indirect","All","Intrusion symptoms",NA,"no","990","9","12","18","0.26"," [0.07, 0.45]",NA,"2.676235","0.007445"
"Direct vs. Indirect","All","Intrusion symptoms",NA,"no","105","2","2","2","-0.35"," [-0.95, 0.24]",NA,"-1.166728","0.243320"
"Indirect","All","Intrusion symptoms",NA,"no","2148","27","30","42","0.02"," [-0.10, 0.15]",NA,"0.346350","0.729079"
"Indirect + direct","All","Intrusion symptoms",NA,"no","149","1","1","1","-0.27"," [-0.94, 0.40]",NA,"-0.783348","0.433423"
"Moderation Analysis: Step4a_Direct_Indirect_involvement","All","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"8.912",NA,"0.063"
"Direct","All","Intrusion symptoms",NA,"yes","1933","17","18","29","0.08"," [-0.05, 0.21]",NA,"1.158239","0.246766"
"Direct + indirect","All","Intrusion symptoms",NA,"yes","990","9","12","18","0.25"," [0.08, 0.42]",NA,"2.951301","0.003164"
"Direct vs. Indirect","All","Intrusion symptoms",NA,"yes","105","2","2","2","-0.34"," [-0.88, 0.20]",NA,"-1.242531","0.214041"
"Indirect","All","Intrusion symptoms",NA,"yes","2085","26","29","41","0.04"," [-0.07, 0.15]",NA,"0.759793","0.447379"
"Indirect + direct","All","Intrusion symptoms",NA,"yes","149","1","1","1","-0.25"," [-0.81, 0.31]",NA,"-0.866857","0.386020"
"Moderation Analysis: Step4b_Task_Instruction","All","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"3.450",NA,"0.178"
"Instruction","All","Intrusion symptoms",NA,"no","650","7","7","11","-0.04"," [-0.29, 0.20]",NA,"-0.334130","0.738282"
"Instruction vs. Task","All","Intrusion symptoms",NA,"no","51","1","1","1","-0.66"," [-1.51, 0.19]",NA,"-1.516900","0.129292"
"Task","All","Intrusion symptoms",NA,"no","4116","42","49","84","0.08"," [-0.02, 0.17]",NA,"1.625978","0.103954"
"Moderation Analysis: Step4b_Task_Instruction","All","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"4.882",NA,"0.087"
"Instruction","All","Intrusion symptoms",NA,"yes","605","6","6","9","-0.04"," [-0.27, 0.19]",NA,"-0.375515","0.707277"
"Instruction vs. Task","All","Intrusion symptoms",NA,"yes","51","1","1","1","-0.66"," [-1.43, 0.11]",NA,"-1.676858","0.093570"
"Task","All","Intrusion symptoms",NA,"yes","4116","42","49","81","0.10"," [0.02, 0.19]",NA,"2.469272","0.013539"
"Moderation Analysis: TraumaStimuliType","All","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"0.646",NA,"0.724"
"Audio","All","Intrusion symptoms",NA,"no","212","3","3","8","-0.06"," [-0.42, 0.29]",NA,"-0.339837","0.733979"
"Film","All","Intrusion symptoms",NA,"no","4143","40","47","86","0.09"," [-0.01, 0.18]",NA,"1.804011","0.071230"
"Picture","All","Intrusion symptoms",NA,"no","375","5","5","6","0.05"," [-0.26, 0.36]",NA,"0.315020","0.752747"
"Moderation Analysis: TraumaStimuliType","All","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"0.198",NA,"0.906"
"Audio","All","Intrusion symptoms",NA,"yes","212","3","3","7","0.06"," [-0.28, 0.40]",NA,"0.338367","0.735086"
"Film","All","Intrusion symptoms",NA,"yes","4098","39","46","82","0.11"," [0.02, 0.19]",NA,"2.432668","0.014988"
"Picture","All","Intrusion symptoms",NA,"yes","375","5","5","6","0.05"," [-0.23, 0.33]",NA,"0.354890","0.722672"
"Moderation Analysis: ComparisonType","All","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"2.768",NA,"0.096"
