"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Moderation Analysis: Step3_Technique_procedure","Decrease","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"0.075",NA,"0.784"
"Behavioural","Decrease","Intrusion frequency","Self-report questionnaire","no","1173","11","12","25","0.29"," [0.06, 0.52]",NA,"2.441613","0.014622"
"Neuromodulation","Decrease","Intrusion frequency","Self-report questionnaire","no","118","1","1","1","0.17"," [-0.63, 0.97]",NA,"0.417626","0.676221"
"Moderation Analysis: Step3_Technique_procedure","Decrease","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"0.090",NA,"0.765"
"Behavioural","Decrease","Intrusion frequency","Self-report questionnaire","yes","1173","11","12","23","0.29"," [0.07, 0.51]",NA,"2.620290","0.008785"
"Neuromodulation","Decrease","Intrusion frequency","Self-report questionnaire","yes","118","1","1","1","0.17"," [-0.59, 0.93]",NA,"0.440346","0.659687"
"Moderation Analysis: Step4_Hypothesized_mechanism","Decrease","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"3.229",NA,"0.358"
"Emotion","Decrease","Intrusion frequency","Self-report questionnaire","no","112","2","2","2","0.80"," [0.10, 1.50]",NA,"2.238723","0.025174"
"Imagery","Decrease","Intrusion frequency","Self-report questionnaire","no","565","4","4","12","0.20"," [-0.16, 0.55]",NA,"1.097202","0.272553"
"Verbal","Decrease","Intrusion frequency","Self-report questionnaire","no","370","4","4","8","0.12"," [-0.24, 0.49]",NA,"0.665603","0.505665"
"Verbal vs. Imagery","Decrease","Intrusion frequency","Self-report questionnaire","no","34","1","1","1","0.58"," [-0.40, 1.56]",NA,"1.163928","0.244453"
"Moderation Analysis: Step4_Hypothesized_mechanism","Decrease","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"3.394",NA,"0.335"
"Emotion","Decrease","Intrusion frequency","Self-report questionnaire","yes","112","2","2","2","0.80"," [0.12, 1.48]",NA,"2.322135","0.020226"
"Imagery","Decrease","Intrusion frequency","Self-report questionnaire","yes","565","4","4","10","0.22"," [-0.12, 0.55]",NA,"1.277556","0.201406"
"Verbal","Decrease","Intrusion frequency","Self-report questionnaire","yes","370","4","4","8","0.13"," [-0.22, 0.48]",NA,"0.738844","0.460002"
"Verbal vs. Imagery","Decrease","Intrusion frequency","Self-report questionnaire","yes","34","1","1","1","0.58"," [-0.36, 1.52]",NA,"1.209505","0.226469"
"Moderation Analysis: Step4a_Direct_Indirect_involvement","Decrease","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"2.968",NA,"0.227"
"Direct","Decrease","Intrusion frequency","Self-report questionnaire","no","852","8","9","21","0.20"," [-0.05, 0.44]",NA,"1.547138","0.121830"
"Direct + indirect","Decrease","Intrusion frequency","Self-report questionnaire","no","107","1","1","2","0.84"," [0.14, 1.55]",NA,"2.348766","0.018836"
"Indirect","Decrease","Intrusion frequency","Self-report questionnaire","no","214","2","2","2","0.34"," [-0.20, 0.89]",NA,"1.234763","0.216919"
"Moderation Analysis: Step4a_Direct_Indirect_involvement","Decrease","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"3.479",NA,"0.176"
"Direct","Decrease","Intrusion frequency","Self-report questionnaire","yes","852","8","9","19","0.20"," [-0.03, 0.43]",NA,"1.717123","0.085957"
"Direct + indirect","Decrease","Intrusion frequency","Self-report questionnaire","yes","107","1","1","2","0.84"," [0.20, 1.49]",NA,"2.570037","0.010169"
"Indirect","Decrease","Intrusion frequency","Self-report questionnaire","yes","214","2","2","2","0.33"," [-0.17, 0.83]",NA,"1.281444","0.200038"
"Moderation Analysis: Step4b_Task_Instruction","Decrease","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"2.598",NA,"0.107"
"Instruction","Decrease","Intrusion frequency","Self-report questionnaire","no","112","2","2","2","0.80"," [0.13, 1.47]",NA,"2.345582","0.018997"
"Task","Decrease","Intrusion frequency","Self-report questionnaire","no","1061","9","10","23","0.22"," [-0.01, 0.45]",NA,"1.863496","0.062392"
"Moderation Analysis: Step4b_Task_Instruction","Decrease","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"2.725",NA,"0.099"
"Instruction","Decrease","Intrusion frequency","Self-report questionnaire","yes","112","2","2","2","0.80"," [0.15, 1.44]",NA,"2.428641","0.015156"
"Task","Decrease","Intrusion frequency","Self-report questionnaire","yes","1061","9","10","21","0.23"," [0.01, 0.44]",NA,"2.055231","0.039857"
"Moderation Analysis: TraumaStimuliType","Decrease","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"0.188",NA,"0.665"
"Film","Decrease","Intrusion frequency","Self-report questionnaire","no","1077","10","11","22","0.30"," [0.06, 0.55]",NA,"2.404853","0.016179"
"Picture","Decrease","Intrusion frequency","Self-report questionnaire","no","214","2","2","4","0.17"," [-0.35, 0.70]",NA,"0.652453","0.514109"
