"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Moderation Analysis: Step3_Technique_procedure","Decrease","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"1.624",NA,"0.202"
"Behavioural","Decrease","Intrusion symptoms",NA,"no","2826","27","33","43","0.20"," [0.10, 0.30]",NA,"3.788435","0.000152"
"Pharmacological","Decrease","Intrusion symptoms",NA,"no","200","2","2","4","0.44"," [0.09, 0.79]",NA,"2.446435","0.014428"
"Moderation Analysis: Step3_Technique_procedure","Decrease","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"1.465",NA,"0.226"
"Behavioural","Decrease","Intrusion symptoms",NA,"yes","2710","25","31","40","0.26"," [0.17, 0.34]",NA,"5.823077","0.000000"
"Pharmacological","Decrease","Intrusion symptoms",NA,"yes","200","2","2","4","0.44"," [0.16, 0.71]",NA,"3.093457","0.001978"
"Moderation Analysis: Step4_Hypothesized_mechanism","Decrease","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"7.825",NA,"0.050"
"Emotion","Decrease","Intrusion symptoms",NA,"no","449","5","5","6","-0.04"," [-0.28, 0.20]",NA,"-0.303234","0.761711"
"Imagery","Decrease","Intrusion symptoms",NA,"no","1037","11","13","16","0.22"," [0.06, 0.38]",NA,"2.635798","0.008394"
"Imagery + verbal","Decrease","Intrusion symptoms",NA,"no","250","1","3","3","0.56"," [0.18, 0.94]",NA,"2.919883","0.003502"
"Verbal","Decrease","Intrusion symptoms",NA,"no","554","5","5","7","0.28"," [0.05, 0.51]",NA,"2.421600","0.015452"
"Moderation Analysis: Step4_Hypothesized_mechanism","Decrease","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"3.454",NA,"0.327"
"Emotion","Decrease","Intrusion symptoms",NA,"yes","382","4","4","4","0.20"," [-0.06, 0.46]",NA,"1.484857","0.137582"
"Imagery","Decrease","Intrusion symptoms",NA,"yes","1037","11","13","16","0.21"," [0.06, 0.36]",NA,"2.758575","0.005805"
"Imagery + verbal","Decrease","Intrusion symptoms",NA,"yes","250","1","3","3","0.56"," [0.21, 0.91]",NA,"3.113993","0.001846"
"Verbal","Decrease","Intrusion symptoms",NA,"yes","554","5","5","7","0.28"," [0.08, 0.49]",NA,"2.735597","0.006227"
"Moderation Analysis: Step4a_Direct_Indirect_involvement","Decrease","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"6.447",NA,"0.040"
"Direct","Decrease","Intrusion symptoms",NA,"no","573","5","5","6","0.31"," [0.06, 0.55]",NA,"2.466007","0.013663"
"Direct + indirect","Decrease","Intrusion symptoms",NA,"no","876","8","11","16","0.34"," [0.17, 0.52]",NA,"3.828870","0.000129"
"Indirect","Decrease","Intrusion symptoms",NA,"no","1437","15","18","21","0.07"," [-0.07, 0.21]",NA,"0.950827","0.341692"
"Moderation Analysis: Step4a_Direct_Indirect_involvement","Decrease","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"2.415",NA,"0.299"
"Direct","Decrease","Intrusion symptoms",NA,"yes","573","5","5","6","0.30"," [0.10, 0.51]",NA,"2.920795","0.003491"
"Direct + indirect","Decrease","Intrusion symptoms",NA,"yes","876","8","11","16","0.33"," [0.18, 0.49]",NA,"4.230379","0.000023"
"Indirect","Decrease","Intrusion symptoms",NA,"yes","1321","13","16","18","0.18"," [0.05, 0.31]",NA,"2.623874","0.008694"
"Moderation Analysis: Step4b_Task_Instruction","Decrease","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"0.045",NA,"0.833"
"Instruction","Decrease","Intrusion symptoms",NA,"no","89","1","1","1","0.13"," [-0.55, 0.80]",NA,"0.370957","0.710670"
"Task","Decrease","Intrusion symptoms",NA,"no","2737","26","32","42","0.20"," [0.09, 0.31]",NA,"3.649003","0.000263"
"Moderation Analysis: Step4b_Task_Instruction","Decrease","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"0.205",NA,"0.651"
"Instruction","Decrease","Intrusion symptoms",NA,"yes","89","1","1","1","0.13"," [-0.44, 0.70]",NA,"0.440787","0.659367"
"Task","Decrease","Intrusion symptoms",NA,"yes","2621","24","30","39","0.26"," [0.17, 0.35]",NA,"5.649169","0.000000"
"Moderation Analysis: TraumaStimuliType","Decrease","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"0.211",NA,"0.900"
"Audio","Decrease","Intrusion symptoms",NA,"no","127","2","2","3","0.25"," [-0.24, 0.75]",NA,"1.005769","0.314526"
"Film","Decrease","Intrusion symptoms",NA,"no","2836","26","32","43","0.21"," [0.11, 0.32]",NA,"3.916667","0.000090"
"Picture","Decrease","Intrusion symptoms",NA,"no","63","1","1","1","0.36"," [-0.30, 1.02]",NA,"1.070452","0.284416"
"Moderation Analysis: TraumaStimuliType","Decrease","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"0.098",NA,"0.952"
"Audio","Decrease","Intrusion symptoms",NA,"yes","127","2","2","3","0.27"," [-0.17, 0.70]",NA,"1.210557","0.226065"
"Film","Decrease","Intrusion symptoms",NA,"yes","2720","24","30","40","0.27"," [0.18, 0.36]",NA,"6.049340","0.000000"
"Picture","Decrease","Intrusion symptoms",NA,"yes","63","1","1","1","0.36"," [-0.19, 0.91]",NA,"1.278449","0.201091"
"Moderation Analysis: ComparisonType","Decrease","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"0.369",NA,"0.543"
"Experimental task","Decrease","Intrusion symptoms",NA,"no","1655","18","20","26","0.19"," [0.06, 0.32]",NA,"2.886862","0.003891"
"No-task","Decrease","Intrusion symptoms",NA,"no","1371","11","15","21","0.26"," [0.10, 0.41]",NA,"3.226867","0.001252"
"Moderation Analysis: ComparisonType","Decrease","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"0.914",NA,"0.339"
"Experimental task","Decrease","Intrusion symptoms",NA,"yes","1606","17","19","24","0.24"," [0.13, 0.35]",NA,"4.454379","0.000008"
"No-task","Decrease","Intrusion symptoms",NA,"yes","1304","10","14","20","0.32"," [0.19, 0.45]",NA,"4.952656","0.000001"
"Moderation Analysis: StudyDesign","Decrease","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"0.181",NA,"0.671"
"Between-subject","Decrease","Intrusion symptoms",NA,"no","2930","28","34","46","0.22"," [0.12, 0.33]",NA,"4.189529","0.000028"
"Within-subject","Decrease","Intrusion symptoms",NA,"no","96","1","1","1","0.11"," [-0.39, 0.61]",NA,"0.433551","0.664614"
"Moderation Analysis: StudyDesign","Decrease","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"0.912",NA,"0.339"
"Between-subject","Decrease","Intrusion symptoms",NA,"yes","2814","26","32","43","0.28"," [0.20, 0.37]",NA,"6.466233","0.000000"
"Within-subject","Decrease","Intrusion symptoms",NA,"yes","96","1","1","1","0.11"," [-0.23, 0.45]",NA,"0.635661","0.524997"
"Moderation Analysis: TimeOfManipulation","Decrease","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"9.557",NA,"0.089"
"Delayed post","Decrease","Intrusion symptoms",NA,"no","359","3","4","5","0.29"," [-0.01, 0.59]",NA,"1.917180","0.055215"
"Immediate + delayed post","Decrease","Intrusion symptoms",NA,"no","112","1","1","2","0.44"," [-0.02, 0.90]",NA,"1.855841","0.063476"
"Immediate post","Decrease","Intrusion symptoms",NA,"no","2134","20","24","34","0.23"," [0.12, 0.34]",NA,"3.975471","0.000070"
"Peri","Decrease","Intrusion symptoms",NA,"no","189","3","3","3","0.32"," [-0.08, 0.71]",NA,"1.569230","0.116594"
"Peri + immediate post","Decrease","Intrusion symptoms",NA,"no","67","1","1","1","-0.63"," [-1.23, -0.02]",NA,"-2.038475","0.041502"
"Pre","Decrease","Intrusion symptoms",NA,"no","165","2","2","2","0.04"," [-0.39, 0.47]",NA,"0.191551","0.848094"
"Moderation Analysis: TimeOfManipulation","Decrease","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"2.248",NA,"0.690"
"Delayed post","Decrease","Intrusion symptoms",NA,"yes","359","3","4","5","0.27"," [0.01, 0.53]",NA,"2.027347","0.042627"
"Immediate + delayed post","Decrease","Intrusion symptoms",NA,"yes","112","1","1","2","0.44"," [0.05, 0.83]",NA,"2.213552","0.026860"
"Immediate post","Decrease","Intrusion symptoms",NA,"yes","2085","19","23","32","0.28"," [0.18, 0.37]",NA,"5.442778","0.000000"
"Peri","Decrease","Intrusion symptoms",NA,"yes","189","3","3","3","0.32"," [-0.03, 0.68]",NA,"1.769830","0.076755"
"Pre","Decrease","Intrusion symptoms",NA,"yes","165","2","2","2","0.04"," [-0.35, 0.42]",NA,"0.189307","0.849852"
"Moderation Analysis: Physio_binary","Decrease","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"2.951",NA,"0.086"
"No","Decrease","Intrusion symptoms",NA,"no","2528","25","31","40","0.18"," [0.08, 0.29]",NA,"3.423342","0.000619"
"Yes","Decrease","Intrusion symptoms",NA,"no","498","4","4","7","0.41"," [0.17, 0.64]",NA,"3.409251","0.000651"
"Moderation Analysis: Physio_binary","Decrease","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"2.876",NA,"0.090"
"No","Decrease","Intrusion symptoms",NA,"yes","2412","23","29","37","0.24"," [0.15, 0.33]",NA,"5.332764","0.000000"
"Yes","Decrease","Intrusion symptoms",NA,"yes","498","4","4","7","0.41"," [0.23, 0.59]",NA,"4.586266","0.000005"
"Moderation Analysis: PublicationStatus","Decrease","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"2.922",NA,"0.087"
"Published","Decrease","Intrusion symptoms",NA,"no","2885","26","32","44","0.24"," [0.14, 0.34]",NA,"4.640510","0.000003"
