"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Moderation Analysis: Step3_Technique_procedure","All","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"5.991",NA,"0.014"
"Behavioural","All","Intrusion frequency","Intrusion diary","no","7979","93","110","230","0.17"," [0.09, 0.24]",NA,"4.394962","0.000011"
"Pharmacological","All","Intrusion frequency","Intrusion diary","no","1006","11","11","18","-0.14"," [-0.38, 0.10]",NA,"-1.170973","0.241610"
"Moderation Analysis: Step3_Technique_procedure","All","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"6.727",NA,"0.009"
"Behavioural","All","Intrusion frequency","Intrusion diary","yes","7784","91","105","219","0.17"," [0.10, 0.24]",NA,"5.066919","0.000000"
"Pharmacological","All","Intrusion frequency","Intrusion diary","yes","1006","11","11","17","-0.11"," [-0.32, 0.09]",NA,"-1.090940","0.275299"
"Moderation Analysis: Step4_Hypothesized_mechanism","All","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"21.518",NA,"0.001"
"Emotion","All","Intrusion frequency","Intrusion diary","no","1314","16","16","24","0.01"," [-0.19, 0.22]",NA,"0.107847","0.914117"
"Imagery","All","Intrusion frequency","Intrusion diary","no","3847","44","51","101","0.32"," [0.21, 0.44]",NA,"5.568590","0.000000"
"Imagery + verbal","All","Intrusion frequency","Intrusion diary","no","575","4","7","7","0.13"," [-0.17, 0.44]",NA,"0.858012","0.390886"
"Imagery vs. Verbal","All","Intrusion frequency","Intrusion diary","no","50","1","1","1","0.58"," [-0.33, 1.48]",NA,"1.243148","0.213813"
"Verbal","All","Intrusion frequency","Intrusion diary","no","1992","26","29","51","-0.02"," [-0.17, 0.12]",NA,"-0.316045","0.751968"
"Verbal + imagery","All","Intrusion frequency","Intrusion diary","no","200","2","2","2","0.07"," [-0.48, 0.61]",NA,"0.249239","0.803176"
"Verbal vs. Imagery","All","Intrusion frequency","Intrusion diary","no","73","1","1","1","0.21"," [-0.64, 1.05]",NA,"0.475701","0.634288"
"Moderation Analysis: Step4_Hypothesized_mechanism","All","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"14.278",NA,"0.027"
"Emotion","All","Intrusion frequency","Intrusion diary","yes","1275","15","15","23","0.08"," [-0.10, 0.26]",NA,"0.833879","0.404349"
"Imagery","All","Intrusion frequency","Intrusion diary","yes","3729","43","48","96","0.27"," [0.17, 0.37]",NA,"5.241745","0.000000"
"Imagery + verbal","All","Intrusion frequency","Intrusion diary","yes","575","4","7","7","0.13"," [-0.14, 0.41]",NA,"0.929728","0.352512"
"Imagery vs. Verbal","All","Intrusion frequency","Intrusion diary","yes","50","1","1","1","0.58"," [-0.22, 1.38]",NA,"1.411801","0.158008"
"Verbal","All","Intrusion frequency","Intrusion diary","yes","1954","26","28","47","0.02"," [-0.11, 0.15]",NA,"0.299586","0.764493"
"Verbal + imagery","All","Intrusion frequency","Intrusion diary","yes","120","1","1","1","0.61"," [-0.08, 1.31]",NA,"1.737911","0.082226"
"Verbal vs. Imagery","All","Intrusion frequency","Intrusion diary","yes","73","1","1","1","0.21"," [-0.53, 0.94]",NA,"0.552046","0.580917"
"Moderation Analysis: Step4a_Direct_Indirect_involvement","All","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"7.776",NA,"0.100"
"Direct","All","Intrusion frequency","Intrusion diary","no","3841","45","47","82","0.09"," [-0.02, 0.20]",NA,"1.530652","0.125855"
"Direct + indirect","All","Intrusion frequency","Intrusion diary","no","1614","16","22","38","0.32"," [0.16, 0.47]",NA,"3.977494","0.000070"
"Direct vs. Indirect","All","Intrusion frequency","Intrusion diary","no","76","1","1","2","-0.27"," [-0.89, 0.35]",NA,"-0.842738","0.399375"
"Indirect","All","Intrusion frequency","Intrusion diary","no","3581","46","54","103","0.19"," [0.09, 0.30]",NA,"3.556866","0.000375"
"Indirect + direct","All","Intrusion frequency","Intrusion diary","no","349","3","3","5","0.14"," [-0.23, 0.50]",NA,"0.739206","0.459782"
"Moderation Analysis: Step4a_Direct_Indirect_involvement","All","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"4.316",NA,"0.365"
"Direct","All","Intrusion frequency","Intrusion diary","yes","3802","44","46","80","0.12"," [0.02, 0.22]",NA,"2.260016","0.023820"
"Direct + indirect","All","Intrusion frequency","Intrusion diary","yes","1424","14","18","34","0.23"," [0.08, 0.38]",NA,"3.076685","0.002093"
"Direct vs. Indirect","All","Intrusion frequency","Intrusion diary","yes","76","1","1","2","-0.20"," [-0.77, 0.37]",NA,"-0.688243","0.491300"
"Indirect","All","Intrusion frequency","Intrusion diary","yes","3483","46","52","99","0.20"," [0.11, 0.30]",NA,"4.157655","0.000032"
"Indirect + direct","All","Intrusion frequency","Intrusion diary","yes","269","2","2","4","0.32"," [-0.06, 0.70]",NA,"1.652946","0.098342"
"Moderation Analysis: Step4b_Task_Instruction","All","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"4.483",NA,"0.106"
"Instruction","All","Intrusion frequency","Intrusion diary","no","1367","17","18","24","0.00"," [-0.19, 0.19]",NA,"0.005351","0.995730"
"Task","All","Intrusion frequency","Intrusion diary","no","7088","83","98","203","0.19"," [0.11, 0.27]",NA,"4.676063","0.000003"
"Task+instruction","All","Intrusion frequency","Intrusion diary","no","120","1","1","3","0.33"," [-0.24, 0.90]",NA,"1.119648","0.262864"
"Moderation Analysis: Step4b_Task_Instruction","All","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"7.299",NA,"0.026"
"Instruction","All","Intrusion frequency","Intrusion diary","yes","1367","17","18","24","-0.03"," [-0.19, 0.14]",NA,"-0.317457","0.750897"
"Task","All","Intrusion frequency","Intrusion diary","yes","6893","81","93","192","0.20"," [0.13, 0.27]",NA,"5.537769","0.000000"
"Task+instruction","All","Intrusion frequency","Intrusion diary","yes","120","1","1","3","0.33"," [-0.19, 0.84]",NA,"1.239973","0.214985"
"Moderation Analysis: TraumaStimuliType","All","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"13.415",NA,"0.009"
"Audio","All","Intrusion frequency","Intrusion diary","no","380","5","5","18","0.02"," [-0.32, 0.35]",NA,"0.096672","0.922987"
"Computer crash","All","Intrusion frequency","Intrusion diary","no","39","1","1","1","-1.43"," [-2.40, -0.46]",NA,"-2.881249","0.003961"
"Film","All","Intrusion frequency","Intrusion diary","no","8069","92","108","218","0.17"," [0.10, 0.25]",NA,"4.424194","0.000010"
"Picture","All","Intrusion frequency","Intrusion diary","no","416","5","6","9","-0.05"," [-0.36, 0.26]",NA,"-0.302304","0.762420"
"Picture + shock","All","Intrusion frequency","Intrusion diary","no","81","1","1","2","-0.21"," [-0.97, 0.55]",NA,"-0.551095","0.581568"
"Moderation Analysis: TraumaStimuliType","All","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"4.057",NA,"0.255"
"Audio","All","Intrusion frequency","Intrusion diary","yes","380","5","5","18","0.02"," [-0.27, 0.31]",NA,"0.119062","0.905226"
"Film","All","Intrusion frequency","Intrusion diary","yes","7913","91","104","207","0.17"," [0.10, 0.23]",NA,"4.795529","0.000002"
"Picture","All","Intrusion frequency","Intrusion diary","yes","416","5","6","9","-0.04"," [-0.32, 0.23]",NA,"-0.317741","0.750681"
"Picture + shock","All","Intrusion frequency","Intrusion diary","yes","81","1","1","2","-0.21"," [-0.88, 0.45]",NA,"-0.626365","0.531075"
"Moderation Analysis: ComparisonType","All","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"0.545",NA,"0.460"
"Experimental task","All","Intrusion frequency","Intrusion diary","no","4692","58","64","106","0.17"," [0.07, 0.27]",NA,"3.203140","0.001359"
"No-task","All","Intrusion frequency","Intrusion diary","no","4293","46","57","142","0.11"," [0.01, 0.22]",NA,"2.088463","0.036756"
"Moderation Analysis: ComparisonType","All","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"0.017",NA,"0.895"
"Experimental task","All","Intrusion frequency","Intrusion diary","yes","4626","57","62","103","0.15"," [0.06, 0.24]",NA,"3.244919","0.001175"
"No-task","All","Intrusion frequency","Intrusion diary","yes","4164","45","54","133","0.14"," [0.05, 0.23]",NA,"2.947122","0.003207"
"Moderation Analysis: StudyDesign","All","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"0.621",NA,"0.431"
"Between-subject","All","Intrusion frequency","Intrusion diary","no","8614","99","113","236","0.13"," [0.06, 0.21]",NA,"3.427975","0.000608"
"Within-subject","All","Intrusion frequency","Intrusion diary","no","427","7","9","12","0.24"," [-0.02, 0.49]",NA,"1.837777","0.066095"
"Moderation Analysis: StudyDesign","All","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"0.445",NA,"0.505"
"Between-subject","All","Intrusion frequency","Intrusion diary","yes","8419","97","108","224","0.14"," [0.07, 0.21]",NA,"4.046303","0.000052"
"Within-subject","All","Intrusion frequency","Intrusion diary","yes","427","7","9","12","0.22"," [-0.01, 0.44]",NA,"1.914613","0.055542"
"Moderation Analysis: TimeOfManipulation","All","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"12.956",NA,"0.044"
"Delayed post","All","Intrusion frequency","Intrusion diary","no","566","6","7","14","0.36"," [0.06, 0.65]",NA,"2.386057","0.017030"
"Immediate + delayed post","All","Intrusion frequency","Intrusion diary","no","251","3","3","5","-0.15"," [-0.59, 0.30]",NA,"-0.640919","0.521575"
"Immediate post","All","Intrusion frequency","Intrusion diary","no","5408","59","69","155","0.19"," [0.10, 0.29]",NA,"4.074919","0.000046"
"Peri","All","Intrusion frequency","Intrusion diary","no","1457","19","23","46","0.14"," [-0.03, 0.31]",NA,"1.647451","0.099465"
"Peri + immediate post","All","Intrusion frequency","Intrusion diary","no","67","1","1","1","-0.51"," [-1.34, 0.31]",NA,"-1.213553","0.224918"
"Pre","All","Intrusion frequency","Intrusion diary","no","1128","16","17","25","-0.07"," [-0.27, 0.12]",NA,"-0.735306","0.462153"
"Pre + peri","All","Intrusion frequency","Intrusion diary","no","108","1","1","2","-0.24"," [-0.97, 0.50]",NA,"-0.631794","0.527521"
"Moderation Analysis: TimeOfManipulation","All","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"14.693",NA,"0.023"
"Delayed post","All","Intrusion frequency","Intrusion diary","yes","514","6","6","12","0.20"," [-0.06, 0.47]",NA,"1.496498","0.134524"
"Immediate + delayed post","All","Intrusion frequency","Intrusion diary","yes","251","3","3","5","-0.14"," [-0.52, 0.24]",NA,"-0.706668","0.479773"
"Immediate post","All","Intrusion frequency","Intrusion diary","yes","5303","57","66","149","0.20"," [0.12, 0.28]",NA,"4.865390","0.000001"
"Peri","All","Intrusion frequency","Intrusion diary","yes","1419","19","22","43","0.18"," [0.04, 0.33]",NA,"2.423914","0.015354"
"Peri + immediate post","All","Intrusion frequency","Intrusion diary","yes","67","1","1","1","-0.51"," [-1.23, 0.20]",NA,"-1.401597","0.161036"
"Pre","All","Intrusion frequency","Intrusion diary","yes","1128","16","17","24","-0.06"," [-0.23, 0.11]",NA,"-0.694110","0.487613"
"Pre + peri","All","Intrusion frequency","Intrusion diary","yes","108","1","1","2","-0.24"," [-0.85, 0.38]",NA,"-0.747236","0.454921"
"Moderation Analysis: Physio_binary","All","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"0.972",NA,"0.324"
"No","All","Intrusion frequency","Intrusion diary","no","6767","79","93","205","0.16"," [0.08, 0.24]",NA,"3.774272","0.000160"
"Yes","All","Intrusion frequency","Intrusion diary","no","2218","26","28","43","0.07"," [-0.08, 0.23]",NA,"0.922244","0.356401"
"Moderation Analysis: Physio_binary","All","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"0.614",NA,"0.433"
"No","All","Intrusion frequency","Intrusion diary","yes","6572","77","88","195","0.16"," [0.08, 0.23]",NA,"4.222233","0.000024"
"Yes","All","Intrusion frequency","Intrusion diary","yes","2218","26","28","41","0.10"," [-0.04, 0.23]",NA,"1.411295","0.158158"
"Moderation Analysis: PublicationStatus","All","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"0.211",NA,"0.646"
"Published","All","Intrusion frequency","Intrusion diary","no","8442","95","111","222","0.15"," [0.07, 0.22]",NA,"3.732650","0.000189"
"Unpublished","All","Intrusion frequency","Intrusion diary","no","543","9","10","26","0.08"," [-0.17, 0.34]",NA,"0.635477","0.525117"
"Moderation Analysis: PublicationStatus","All","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"0.692",NA,"0.405"
"Published","All","Intrusion frequency","Intrusion diary","yes","8247","93","106","211","0.15"," [0.09, 0.22]",NA,"4.461469","0.000008"
"Unpublished","All","Intrusion frequency","Intrusion diary","yes","543","9","10","25","0.05"," [-0.17, 0.28]",NA,"0.482416","0.629510"
"Moderation Analysis: Country_RegionofOrigin","All","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"11.763",NA,"0.697"
"Australia","All","Intrusion frequency","Intrusion diary","no","1042","11","12","22","0.01"," [-0.23, 0.24]",NA,"0.081269","0.935228"
"Austria","All","Intrusion frequency","Intrusion diary","no","84","1","1","1","0.24"," [-0.62, 1.09]",NA,"0.543643","0.586687"
"Belgium, Netherlands","All","Intrusion frequency","Intrusion diary","no","61","1","1","1","0.36"," [-0.45, 1.16]",NA,"0.869717","0.384455"
"Belgium/Australia","All","Intrusion frequency","Intrusion diary","no","74","1","1","2","0.24"," [-0.57, 1.05]",NA,"0.576153","0.564512"
"China","All","Intrusion frequency","Intrusion diary","no","66","1","1","2","0.68"," [-0.10, 1.46]",NA,"1.702307","0.088698"
"England","All","Intrusion frequency","Intrusion diary","no","2533","35","45","84","0.17"," [0.05, 0.30]",NA,"2.654517","0.007942"
"Germany","All","Intrusion frequency","Intrusion diary","no","1604","15","15","34","0.15"," [-0.05, 0.35]",NA,"1.469677","0.141649"
"Hong Kong SAR","All","Intrusion frequency","Intrusion diary","no","240","2","3","3","0.43"," [-0.06, 0.92]",NA,"1.734574","0.082816"
"Israel","All","Intrusion frequency","Intrusion diary","no","60","1","1","1","0.26"," [-0.62, 1.14]",NA,"0.581924","0.560618"
"Netherlands","All","Intrusion frequency","Intrusion diary","no","1913","21","25","65","0.16"," [-0.00, 0.32]",NA,"1.928141","0.053838"
"New Zealand","All","Intrusion frequency","Intrusion diary","no","60","1","1","2","-0.39"," [-1.22, 0.43]",NA,"-0.932461","0.351099"
"Norway","All","Intrusion frequency","Intrusion diary","no","149","1","1","3","-0.01"," [-0.76, 0.73]",NA,"-0.032737","0.973884"
"Scotland","All","Intrusion frequency","Intrusion diary","no","38","1","1","1","-0.65"," [-1.61, 0.32]",NA,"-1.311146","0.189808"
