"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Moderation Analysis: Step3_Technique_procedure","Decrease","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"3.628",NA,"0.163"
"Behavioural","Decrease","Intrusion-related distress",NA,"no","3256","34","38","59","0.12"," [0.04, 0.21]",NA,"2.745458","0.006043"
"Neuromodulation","Decrease","Intrusion-related distress",NA,"no","118","1","1","1","-0.47"," [-1.07, 0.13]",NA,"-1.522085","0.127988"
"Pharmacological","Decrease","Intrusion-related distress",NA,"no","606","6","6","9","0.11"," [-0.10, 0.32]",NA,"1.005982","0.314424"
"Moderation Analysis: Step3_Technique_procedure","Decrease","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"3.840",NA,"0.147"
"Behavioural","Decrease","Intrusion-related distress",NA,"yes","3190","33","37","58","0.11"," [0.02, 0.19]",NA,"2.502060","0.012347"
"Neuromodulation","Decrease","Intrusion-related distress",NA,"yes","118","1","1","1","-0.47"," [-1.05, 0.11]",NA,"-1.586434","0.112641"
"Pharmacological","Decrease","Intrusion-related distress",NA,"yes","606","6","6","8","0.06"," [-0.15, 0.27]",NA,"0.547589","0.583974"
"Moderation Analysis: Step4_Hypothesized_mechanism","Decrease","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"1.520",NA,"0.678"
"Emotion","Decrease","Intrusion-related distress",NA,"no","732","9","9","13","0.20"," [-0.01, 0.41]",NA,"1.859871","0.062904"
"Imagery","Decrease","Intrusion-related distress",NA,"no","1174","12","13","18","0.13"," [-0.04, 0.30]",NA,"1.532094","0.125499"
"Imagery + verbal","Decrease","Intrusion-related distress",NA,"no","289","2","3","3","-0.06"," [-0.45, 0.34]",NA,"-0.285251","0.775452"
"Verbal","Decrease","Intrusion-related distress",NA,"no","272","4","4","9","0.06"," [-0.21, 0.33]",NA,"0.439459","0.660329"
"Moderation Analysis: Step4_Hypothesized_mechanism","Decrease","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"1.622",NA,"0.654"
"Emotion","Decrease","Intrusion-related distress",NA,"yes","732","9","9","13","0.20"," [-0.00, 0.40]",NA,"1.913300","0.055710"
"Imagery","Decrease","Intrusion-related distress",NA,"yes","1108","11","12","17","0.09"," [-0.08, 0.26]",NA,"1.041969","0.297426"
"Imagery + verbal","Decrease","Intrusion-related distress",NA,"yes","289","2","3","3","-0.06"," [-0.44, 0.33]",NA,"-0.285221","0.775475"
"Verbal","Decrease","Intrusion-related distress",NA,"yes","272","4","4","9","0.06"," [-0.20, 0.31]",NA,"0.448746","0.653615"
"Moderation Analysis: Step4a_Direct_Indirect_involvement","Decrease","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"0.571",NA,"0.752"
"Direct","Decrease","Intrusion-related distress",NA,"no","1033","11","11","20","0.15"," [-0.01, 0.30]",NA,"1.875089","0.060780"
"Direct + indirect","Decrease","Intrusion-related distress",NA,"no","341","3","4","7","0.03"," [-0.24, 0.30]",NA,"0.200318","0.841232"
"Indirect","Decrease","Intrusion-related distress",NA,"no","1882","20","23","32","0.13"," [0.01, 0.24]",NA,"2.071150","0.038345"
"Moderation Analysis: Step4a_Direct_Indirect_involvement","Decrease","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"0.434",NA,"0.805"
"Direct","Decrease","Intrusion-related distress",NA,"yes","967","10","10","19","0.11"," [-0.05, 0.26]",NA,"1.373324","0.169652"
"Direct + indirect","Decrease","Intrusion-related distress",NA,"yes","341","3","4","7","0.03"," [-0.24, 0.29]",NA,"0.201615","0.840218"
"Indirect","Decrease","Intrusion-related distress",NA,"yes","1882","20","23","32","0.12"," [0.01, 0.24]",NA,"2.112197","0.034670"
"Moderation Analysis: Step4b_Task_Instruction","Decrease","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"0.205",NA,"0.650"
"Instruction","Decrease","Intrusion-related distress",NA,"no","145","2","2","3","0.02"," [-0.42, 0.46]",NA,"0.100302","0.920105"
"Task","Decrease","Intrusion-related distress",NA,"no","3111","32","36","56","0.13"," [0.04, 0.21]",NA,"2.758979","0.005798"
