"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Moderation Analysis: Step3_Technique_procedure","All","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"0.067",NA,"0.796"
"Behavioural","All","Intrusion frequency","Self-report questionnaire","no","1597","15","16","41","0.13"," [-0.06, 0.31]",NA,"1.348547","0.177482"
"Neuromodulation","All","Intrusion frequency","Self-report questionnaire","no","118","1","1","2","0.23"," [-0.49, 0.94]",NA,"0.615804","0.538024"
"Moderation Analysis: Step3_Technique_procedure","All","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"0.118",NA,"0.731"
"Behavioural","All","Intrusion frequency","Self-report questionnaire","yes","1597","15","16","40","0.11"," [-0.07, 0.28]",NA,"1.215171","0.224301"
"Neuromodulation","All","Intrusion frequency","Self-report questionnaire","yes","118","1","1","2","0.23"," [-0.43, 0.88]",NA,"0.671546","0.501873"
"Moderation Analysis: Step4_Hypothesized_mechanism","All","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"1.688",NA,"0.640"
"Emotion","All","Intrusion frequency","Self-report questionnaire","no","296","3","3","5","0.25"," [-0.21, 0.70]",NA,"1.067818","0.285603"
"Imagery","All","Intrusion frequency","Self-report questionnaire","no","694","6","6","14","0.08"," [-0.22, 0.39]",NA,"0.516373","0.605594"
"Verbal","All","Intrusion frequency","Self-report questionnaire","no","610","7","7","19","0.01"," [-0.27, 0.30]",NA,"0.102245","0.918562"
"Verbal vs. Imagery","All","Intrusion frequency","Self-report questionnaire","no","34","1","1","1","0.58"," [-0.41, 1.57]",NA,"1.152743","0.249016"
"Moderation Analysis: Step4_Hypothesized_mechanism","All","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"1.879",NA,"0.598"
"Emotion","All","Intrusion frequency","Self-report questionnaire","yes","296","3","3","5","0.22"," [-0.20, 0.65]",NA,"1.028136","0.303886"
"Imagery","All","Intrusion frequency","Self-report questionnaire","yes","694","6","6","13","0.05"," [-0.24, 0.34]",NA,"0.323342","0.746436"
"Verbal","All","Intrusion frequency","Self-report questionnaire","yes","610","7","7","19","0.01"," [-0.26, 0.27]",NA,"0.040751","0.967495"
"Verbal vs. Imagery","All","Intrusion frequency","Self-report questionnaire","yes","34","1","1","1","0.58"," [-0.36, 1.52]",NA,"1.213954","0.224765"
"Moderation Analysis: Step4a_Direct_Indirect_involvement","All","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"4.972",NA,"0.083"
"Direct","All","Intrusion frequency","Self-report questionnaire","no","1092","11","12","36","0.08"," [-0.11, 0.27]",NA,"0.801084","0.423083"
"Direct + indirect","All","Intrusion frequency","Self-report questionnaire","no","107","1","1","2","0.84"," [0.19, 1.50]",NA,"2.512070","0.012003"
"Indirect","All","Intrusion frequency","Self-report questionnaire","no","398","3","3","3","0.05"," [-0.35, 0.44]",NA,"0.228235","0.819464"
"Moderation Analysis: Step4a_Direct_Indirect_involvement","All","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"2.753",NA,"0.252"
"Direct","All","Intrusion frequency","Self-report questionnaire","yes","1092","11","12","36","0.08"," [-0.11, 0.27]",NA,"0.801084","0.423083"
"Direct + indirect","All","Intrusion frequency","Self-report questionnaire","yes","107","1","1","1","0.71"," [-0.03, 1.45]",NA,"1.886248","0.059262"
"Indirect","All","Intrusion frequency","Self-report questionnaire","yes","398","3","3","3","0.05"," [-0.35, 0.44]",NA,"0.228235","0.819464"
"Moderation Analysis: Step4b_Task_Instruction","All","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"2.355",NA,"0.125"
"Instruction","All","Intrusion frequency","Self-report questionnaire","no","112","2","2","5","0.52"," [-0.01, 1.05]",NA,"1.906306","0.056611"
"Task","All","Intrusion frequency","Self-report questionnaire","no","1485","13","14","36","0.08"," [-0.11, 0.26]",NA,"0.799729","0.423868"
"Moderation Analysis: Step4b_Task_Instruction","All","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"3.253",NA,"0.071"
"Instruction","All","Intrusion frequency","Self-report questionnaire","yes","112","2","2","5","0.52"," [0.04, 1.00]",NA,"2.108483","0.034989"
"Task","All","Intrusion frequency","Self-report questionnaire","yes","1485","13","14","35","0.05"," [-0.12, 0.22]",NA,"0.582939","0.559934"
"Moderation Analysis: TraumaStimuliType","All","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"0.028",NA,"0.866"
"Film","All","Intrusion frequency","Self-report questionnaire","no","1501","14","15","39","0.13"," [-0.06, 0.32]",NA,"1.302704","0.192676"
"Picture","All","Intrusion frequency","Self-report questionnaire","no","214","2","2","4","0.17"," [-0.33, 0.68]",NA,"0.676271","0.498868"
"Moderation Analysis: TraumaStimuliType","All","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"0.074",NA,"0.785"
"Film","All","Intrusion frequency","Self-report questionnaire","yes","1501","14","15","38","0.11"," [-0.07, 0.28]",NA,"1.156641","0.247419"
"Picture","All","Intrusion frequency","Self-report questionnaire","yes","214","2","2","4","0.17"," [-0.29, 0.64]",NA,"0.737537","0.460796"
"Moderation Analysis: ComparisonType","All","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"2.399",NA,"0.121"
"Experimental task","All","Intrusion frequency","Self-report questionnaire","no","1603","14","15","38","0.08"," [-0.09, 0.26]",NA,"0.955430","0.339360"
"No-task","All","Intrusion frequency","Self-report questionnaire","no","112","2","2","5","0.52"," [-0.00, 1.04]",NA,"1.955024","0.050580"
"Moderation Analysis: ComparisonType","All","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"3.253",NA,"0.071"
"Experimental task","All","Intrusion frequency","Self-report questionnaire","yes","1603","14","15","37","0.06"," [-0.10, 0.22]",NA,"0.756663","0.449252"
"No-task","All","Intrusion frequency","Self-report questionnaire","yes","112","2","2","5","0.52"," [0.05, 0.99]",NA,"2.149158","0.031622"
"Moderation Analysis: TimeOfManipulation","All","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"3.381",NA,"0.496"
"Delayed post","All","Intrusion frequency","Self-report questionnaire","no","517","3","3","10","-0.06"," [-0.46, 0.34]",NA,"-0.276475","0.782183"
"Immediate + delayed post","All","Intrusion frequency","Self-report questionnaire","no","82","1","1","1","-0.32"," [-1.10, 0.47]",NA,"-0.788633","0.430327"
"Immediate post","All","Intrusion frequency","Self-report questionnaire","no","836","9","9","25","0.19"," [-0.05, 0.44]",NA,"1.527728","0.126580"
"Peri","All","Intrusion frequency","Self-report questionnaire","no","129","2","2","4","0.16"," [-0.39, 0.71]",NA,"0.559622","0.575737"
"Pre","All","Intrusion frequency","Self-report questionnaire","no","151","2","2","3","0.43"," [-0.14, 1.01]",NA,"1.467599","0.142213"
"Moderation Analysis: TimeOfManipulation","All","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"3.651",NA,"0.455"
"Delayed post","All","Intrusion frequency","Self-report questionnaire","yes","517","3","3","10","-0.06"," [-0.42, 0.30]",NA,"-0.315582","0.752320"
"Immediate + delayed post","All","Intrusion frequency","Self-report questionnaire","yes","82","1","1","1","-0.32"," [-1.04, 0.41]",NA,"-0.847552","0.396687"
"Immediate post","All","Intrusion frequency","Self-report questionnaire","yes","836","9","9","24","0.16"," [-0.07, 0.39]",NA,"1.382222","0.166903"
"Peri","All","Intrusion frequency","Self-report questionnaire","yes","129","2","2","4","0.16"," [-0.36, 0.67]",NA,"0.595037","0.551819"
"Pre","All","Intrusion frequency","Self-report questionnaire","yes","151","2","2","3","0.42"," [-0.12, 0.96]",NA,"1.539904","0.123584"
"Moderation Analysis: Physio_binary","All","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"2.744",NA,"0.098"
"No","All","Intrusion frequency","Self-report questionnaire","no","955","10","11","29","0.24"," [0.03, 0.46]",NA,"2.204101","0.027517"
"Yes","All","Intrusion frequency","Self-report questionnaire","no","760","6","6","14","-0.05"," [-0.33, 0.22]",NA,"-0.380532","0.703551"
"Moderation Analysis: Physio_binary","All","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"2.476",NA,"0.116"
"No","All","Intrusion frequency","Self-report questionnaire","yes","955","10","11","28","0.21"," [0.01, 0.42]",NA,"2.042869","0.041065"
"Yes","All","Intrusion frequency","Self-report questionnaire","yes","760","6","6","14","-0.05"," [-0.31, 0.21]",NA,"-0.388689","0.697506"
"Moderation Analysis: PublicationStatus","All","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"0.052",NA,"0.820"
"Published","All","Intrusion frequency","Self-report questionnaire","no","1404","13","14","37","0.14"," [-0.05, 0.34]",NA,"1.420592","0.155435"
