"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Moderation Analysis: Step4_Hypothesized_mechanism","Unspecified","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"0.034",NA,"0.983"
"Emotion","Unspecified","Intrusion frequency","Self-report questionnaire","no","240","2","2","2","-0.02"," [-0.67, 0.64]",NA,"-0.046136","0.963202"
"Imagery","Unspecified","Intrusion frequency","Self-report questionnaire","no","56","1","1","1","-0.07"," [-1.05, 0.91]",NA,"-0.145909","0.883993"
"Verbal","Unspecified","Intrusion frequency","Self-report questionnaire","no","184","2","2","4","0.03"," [-0.57, 0.64]",NA,"0.113976","0.909257"
"Moderation Analysis: Step4_Hypothesized_mechanism","Unspecified","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"2.177",NA,"0.337"
"Emotion","Unspecified","Intrusion frequency","Self-report questionnaire","yes","56","1","1","1","0.61"," [-0.15, 1.38]",NA,"1.566509","0.117229"
"Imagery","Unspecified","Intrusion frequency","Self-report questionnaire","yes","56","1","1","1","0.25"," [-0.50, 1.00]",NA,"0.643472","0.519918"
"Verbal","Unspecified","Intrusion frequency","Self-report questionnaire","yes","184","2","2","4","0.02"," [-0.24, 0.28]",NA,"0.177777","0.858898"
"Moderation Analysis: Step4b_Task_Instruction","Unspecified","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"2.030",NA,"0.154"
"Instruction","Unspecified","Intrusion frequency","Self-report questionnaire","no","56","1","1","2","0.43"," [-0.26, 1.11]",NA,"1.224736","0.220675"
"Task","Unspecified","Intrusion frequency","Self-report questionnaire","no","368","3","3","5","-0.12"," [-0.43, 0.19]",NA,"-0.747054","0.455031"
"Moderation Analysis: Step4b_Task_Instruction","Unspecified","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"1.723",NA,"0.189"
"Instruction","Unspecified","Intrusion frequency","Self-report questionnaire","yes","56","1","1","2","0.43"," [-0.12, 0.97]",NA,"1.541993","0.123075"
"Task","Unspecified","Intrusion frequency","Self-report questionnaire","yes","184","2","2","4","0.02"," [-0.24, 0.28]",NA,"0.177777","0.858898"
"Moderation Analysis: ComparisonType","Unspecified","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"2.030",NA,"0.154"
"Experimental task","Unspecified","Intrusion frequency","Self-report questionnaire","no","368","3","3","5","-0.12"," [-0.43, 0.19]",NA,"-0.747054","0.455031"
"No-task","Unspecified","Intrusion frequency","Self-report questionnaire","no","56","1","1","2","0.43"," [-0.26, 1.11]",NA,"1.224736","0.220675"
"Moderation Analysis: ComparisonType","Unspecified","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"1.723",NA,"0.189"
"Experimental task","Unspecified","Intrusion frequency","Self-report questionnaire","yes","184","2","2","4","0.02"," [-0.24, 0.28]",NA,"0.177777","0.858898"
"No-task","Unspecified","Intrusion frequency","Self-report questionnaire","yes","56","1","1","2","0.43"," [-0.12, 0.97]",NA,"1.541993","0.123075"
"Moderation Analysis: Physio_binary","Unspecified","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"0.423",NA,"0.516"
"No","Unspecified","Intrusion frequency","Self-report questionnaire","no","157","2","2","4","0.13"," [-0.42, 0.67]",NA,"0.461279","0.644598"
"Yes","Unspecified","Intrusion frequency","Self-report questionnaire","no","267","2","2","3","-0.12"," [-0.63, 0.39]",NA,"-0.458377","0.646682"
"Moderation Analysis: Physio_binary","Unspecified","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"0.013",NA,"0.911"
"No","Unspecified","Intrusion frequency","Self-report questionnaire","yes","157","2","2","4","0.12"," [-0.38, 0.63]",NA,"0.475820","0.634202"
"Yes","Unspecified","Intrusion frequency","Self-report questionnaire","yes","83","1","1","2","0.17"," [-0.51, 0.85]",NA,"0.491204","0.623282"
"Moderation Analysis: Country_RegionofOrigin","Unspecified","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"7.582",NA,"0.023"
"England","Unspecified","Intrusion frequency","Self-report questionnaire","no","56","1","1","2","0.43"," [-0.12, 0.97]",NA,"1.541993","0.123075"
"Netherlands","Unspecified","Intrusion frequency","Self-report questionnaire","no","184","2","2","4","0.02"," [-0.24, 0.28]",NA,"0.177777","0.858898"
"USA","Unspecified","Intrusion frequency","Self-report questionnaire","no","184","1","1","1","-0.38"," [-0.69, -0.07]",NA,"-2.408849","0.016003"
"Moderation Analysis: Country_RegionofOrigin","Unspecified","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"1.723",NA,"0.189"
"England","Unspecified","Intrusion frequency","Self-report questionnaire","yes","56","1","1","2","0.43"," [-0.12, 0.97]",NA,"1.541993","0.123075"
"Netherlands","Unspecified","Intrusion frequency","Self-report questionnaire","yes","184","2","2","4","0.02"," [-0.24, 0.28]",NA,"0.177777","0.858898"
"Moderation Analysis: MeanAge","Unspecified","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"0.352",NA,"0.553"
"MeanAge","Unspecified","Intrusion frequency","Self-report questionnaire","no","424","4","4","7","0.06"," [-0.13, 0.25]",NA,"0.593189","0.553055"
"Moderation Analysis: MeanAge","Unspecified","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"2.155",NA,"0.142"
"MeanAge","Unspecified","Intrusion frequency","Self-report questionnaire","yes","240","3","3","6","-0.16"," [-0.37, 0.05]",NA,"-1.467977","0.142111"
"Moderation Analysis: FemaleRatio","Unspecified","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"0.032",NA,"0.858"
"FemaleRatio","Unspecified","Intrusion frequency","Self-report questionnaire","no","424","4","4","7","0.58"," [-5.77, 6.93]",NA,"0.179478","0.857563"
"Moderation Analysis: FemaleRatio","Unspecified","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"2.485",NA,"0.115"
"FemaleRatio","Unspecified","Intrusion frequency","Self-report questionnaire","yes","240","3","3","6","-3.82"," [-8.57, 0.93]",NA,"-1.576451","0.114922"
