"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Moderation Analysis: Step3_Technique_procedure","Increase","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"0.915",NA,"0.633"
"Behavioural","Increase","Intrusion-related distress",NA,"no","1817","21","23","43","-0.16"," [-0.28, -0.04]",NA,"-2.603142","0.009237"
"Neuromodulation","Increase","Intrusion-related distress",NA,"no","118","1","1","1","-0.17"," [-0.79, 0.46]",NA,"-0.531882","0.594808"
"Pharmacological","Increase","Intrusion-related distress",NA,"no","255","2","2","2","0.04"," [-0.35, 0.42]",NA,"0.185761","0.852632"
"Moderation Analysis: Step3_Technique_procedure","Increase","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"0.689",NA,"0.708"
"Behavioural","Increase","Intrusion-related distress",NA,"yes","1778","20","22","42","-0.12"," [-0.22, -0.02]",NA,"-2.276228","0.022832"
"Neuromodulation","Increase","Intrusion-related distress",NA,"yes","118","1","1","1","-0.17"," [-0.72, 0.38]",NA,"-0.605895","0.544584"
"Pharmacological","Increase","Intrusion-related distress",NA,"yes","255","2","2","2","0.02"," [-0.30, 0.33]",NA,"0.102743","0.918167"
"Moderation Analysis: Step4_Hypothesized_mechanism","Increase","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"1.053",NA,"0.788"
"Emotion","Increase","Intrusion-related distress",NA,"no","328","5","5","10","-0.30"," [-0.64, 0.04]",NA,"-1.734658","0.082801"
"Imagery","Increase","Intrusion-related distress",NA,"no","340","3","3","4","-0.08"," [-0.49, 0.33]",NA,"-0.397500","0.690999"
"Verbal","Increase","Intrusion-related distress",NA,"no","679","7","8","18","-0.16"," [-0.42, 0.10]",NA,"-1.189988","0.234051"
"Verbal + imagery","Increase","Intrusion-related distress",NA,"no","200","2","2","2","0.02"," [-0.54, 0.58]",NA,"0.059721","0.952378"
"Moderation Analysis: Step4_Hypothesized_mechanism","Increase","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"0.931",NA,"0.818"
"Emotion","Increase","Intrusion-related distress",NA,"yes","289","4","4","9","-0.07"," [-0.31, 0.17]",NA,"-0.565724","0.571581"
"Imagery","Increase","Intrusion-related distress",NA,"yes","340","3","3","4","-0.03"," [-0.32, 0.26]",NA,"-0.181746","0.855782"
"Verbal","Increase","Intrusion-related distress",NA,"yes","679","7","8","18","-0.16"," [-0.33, 0.01]",NA,"-1.819218","0.068878"
"Verbal + imagery","Increase","Intrusion-related distress",NA,"yes","200","2","2","2","0.01"," [-0.46, 0.48]",NA,"0.044208","0.964738"
"Moderation Analysis: Step4a_Direct_Indirect_involvement","Increase","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"0.350",NA,"0.950"
"Direct","Increase","Intrusion-related distress",NA,"no","1024","11","12","22","-0.16"," [-0.35, 0.02]",NA,"-1.786345","0.074043"
"Direct + indirect","Increase","Intrusion-related distress",NA,"no","114","1","1","1","-0.32"," [-0.96, 0.32]",NA,"-0.986548","0.323864"
"Indirect","Increase","Intrusion-related distress",NA,"no","656","9","10","16","-0.16"," [-0.37, 0.04]",NA,"-1.559296","0.118926"
